,id,valid,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size,pre_pt_position,post_pt_position,ctr_pt_position,pial_distances,cortex_layer
2193,200538810,t,92473189845896763,864691136371100552,92473189845910390,864691136309791834,11200,[201506 125520  25243],[201478 125540  25253],[201541 125492  25251],"[759.197680015957, 173.7480222000576, 1009.7200000000003]",L2/3
2212,209180883,t,92968588285259091,864691135497827091,92968588285250433,864691136309791834,3004,[205294 146180  23184],[205198 146152  23176],[205254 146136  23182],"[767.0894715007768, 257.394135864472, 927.3600000000002]",L2/3
2241,198900952,t,92615988650439024,864691135488408122,92615988650427249,864691136309791834,1600,[202642 140766  23483],[202584 140832  23479],[202652 140770  23483],"[758.4092829083627, 234.89599536352983, 939.3200000000003]",L2/3
2245,198556885,t,92472708474150442,864691136662405598,92472708474153903,864691136309791834,7192,[201542 121714  22805],[201566 121842  22805],[201594 121800  22804],"[760.6679910800726, 158.59450454326446, 912.2000000000003]",L2/3
2269,164951300,t,89590407461561206,864691135162191149,89590407461564813,864691136309791834,888,[180538 142894  22935],[180542 142930  22942],[180562 142934  22941],"[669.5878627996149, 235.6696424829099, 917.4000000000002]",L2/3
2280,205951526,t,93320913176942686,864691136237460540,93320913176934317,864691136309791834,5384,[207878 150050  24425],[207798 150186  24417],[207814 150116  24418],"[776.0369690025192, 273.71607154797186, 977.0000000000002]",L2/3
2287,195009852,t,91839389910797916,864691136039699454,91839389910790923,864691136309791834,404,[196964 121564  23847],[196866 121644  23840],[196928 121570  23841],"[742.4779672142652, 156.40079176321433, 953.8800000000002]",L2/3
2319,177705504,t,90996820607906875,864691135122292775,90996889327382878,864691136309791834,4604,[190980 135872  25424],[190996 135898  25429],[191022 135844  25429],"[713.644953451807, 211.32884686599317, 1016.9600000000003]",L2/3
2338,195009359,t,91768883727656313,864691136090963892,91768883727668713,864691136309791834,7596,[196468 120644  23829],[196580 120706  23840],[196546 120706  23838],"[740.8222500665624, 152.56187828062528, 953.1600000000003]",L2/3
2381,181100498,t,90715688960185886,864691135864308606,90786057704366035,864691136309791834,328,[188944 138326  23424],[188968 138260  23438],[188912 138309  23431],"[704.6764230597369, 220.3976976535249, 936.9600000000003]",L2/3
2388,202327503,t,92264694550703572,864691136099993717,92335063294880506,864691136309791834,17896,[200216 144742  22047],[200244 144844  22055],[200280 144786  22052],"[747.3560846254215, 249.89371651435778, 881.8800000000002]",L2/3
2415,187934924,t,91277539536167929,864691135446871636,91277539536160638,864691136309791834,7920,[192806 129934  24393],[192682 129918  24389],[192759 129933  24382],"[722.9912827284116, 188.30381594194688, 975.7200000000003]",L2/3
2433,172264699,t,90362196240435610,864691135991681217,90362196240422185,864691136309791834,4424,[186162 125910  25586],[186098 125896  25578],[186128 125860  25585],"[697.9192712671918, 169.95281506220036, 1023.4400000000003]",L2/3
2434,180253471,t,91064783968813355,864691135939796646,91064783968806857,864691136309791834,268,[191472 117948  23645],[191424 117936  23645],[191462 117940  23646],"[721.8541827496879, 140.07719429333468, 945.8000000000003]",L2/3
2447,202409609,t,92474151717665611,864691136903064498,92474151717679764,864691136309791834,3272,[201642 132752  24046],[201624 132648  24056],[201666 132724  24047],"[757.2183686055147, 202.61335515051027, 961.8400000000003]",L2/3
2479,202167143,t,92404126503473233,864691135367305465,92404126503483802,864691136309791834,2620,[201114 135218  23277],[201050 135160  23287],[201076 135236  23281],"[754.2547011566819, 212.2557467238042, 931.0800000000003]",L2/3
2491,164163752,t,89942045090985025,864691135748868393,89942045090988783,864691136309791834,4168,[183118 141284  23305],[183060 141226  23305],[183088 141248  23306],"[680.4298750672166, 230.1535958923549, 932.2000000000003]",L2/3
2496,184275453,t,91414428599725685,864691135583740280,91414359880220260,864691136309791834,6600,[193938 101084  23482],[193938 100980  23480],[193944 101046  23484],"[737.5598250344508, 73.73758898532088, 939.2800000000002]",L1
2500,180534860,t,90644495783487339,864691135987306755,90644495783490176,864691136309791834,1292,[188170 131928  24823],[188228 131896  24823],[188158 131920  24819],"[703.822694042843, 194.63324876041415, 992.9200000000003]",L2/3
2501,184931589,t,91629726854131601,864691135888479625,91629726854149297,864691136309791834,5260,[195326 132776  24127],[195330 132632  24135],[195370 132702  24132],"[732.042138801621, 200.50708715675032, 965.0800000000003]",L2/3
2538,202005562,t,92756657284985231,864691135568074220,92756657285000803,864691136309791834,560,[203678 140202  22309],[203638 140320  22322],[203650 140268  22315],"[762.7341370928937, 233.00975352258126, 892.3600000000002]",L2/3
2540,195169287,t,91981914172697344,864691134988386426,91981914172694008,864691136309791834,612,[198114 134976  24399],[198066 134930  24393],[198100 134951  24393],"[742.3847315385607, 210.2455613430795, 975.9600000000003]",L2/3
2573,210116661,t,93038682285833952,864691135994544298,93038682285825383,864691136309791834,1632,[205360 144504  24287],[205484 144506  24280],[205418 144584  24282],"[767.9367590004532, 250.7386557245502, 971.4800000000002]",L2/3
2580,195117301,t,91910033599735269,864691136089121591,91910033599737691,864691136309791834,836,[197642 123970  24127],[197568 124078  24124],[197592 124004  24126],"[744.3408603672865, 166.22453591198095, 965.0800000000003]",L2/3
2592,195407380,t,92195357001675875,864691135155562084,92195357001680253,864691136309791834,8228,[199220 152614  25403],[199238 152738  25414],[199278 152692  25412],"[740.6428849205857, 280.91466668876404, 1016.1200000000002]",L2/3
2620,160754411,t,89449807412163750,864691135855941166,89449807412156508,864691136309791834,24556,[179506 143986  22892],[179472 143914  22887],[179577 143946  22894],"[665.0948748015703, 239.6612420181123, 915.6800000000003]",L2/3
2625,195170167,t,92193089124897170,864691135363505394,92193157844374056,864691136309791834,5560,[199376 135832  24527],[199264 135942  24521],[199316 135872  24525],"[747.1151011113599, 214.09649417873584, 981.0800000000003]",L2/3
2653,184413959,t,91487545988443074,864691136175513094,91557983452091886,864691136309791834,17096,[194546 122020  22195],[194640 122076  22191],[194612 122064  22199],"[732.6838000195501, 157.37488054867828, 887.8000000000003]",L2/3
2655,171979244,t,90223451348105817,864691135467542412,90223451348111630,864691136309791834,12876,[185084 140576  23217],[185090 140630  23231],[185114 140606  23225],"[688.5107752364714, 228.01776526832668, 928.6800000000003]",L2/3
2663,214254395,t,93740376862650477,864691135431750898,93740376862638660,864691136309791834,4316,[210648 129722  24177],[210604 129716  24172],[210618 129684  24178],"[794.1616140116732, 193.67917388638, 967.0800000000003]",L2/3
2734,195688131,t,91983838451965044,864691135099856928,91983838451966967,864691136309791834,11172,[197886 149288  25142],[197874 149196  25149],[197904 149260  25148],"[736.4867100130831, 267.1962293820498, 1005.6800000000003]",L2/3
2744,201929757,t,92686357662986601,864691135382919403,92686357662978096,864691136309791834,14536,[202872 140644  25466],[202822 140598  25459],[202870 140590  25464],"[759.368314033068, 234.49003563418898, 1018.6400000000002]",L2/3
2746,223986985,t,94022607820983331,864691135584182904,94022607820973939,864691136309791834,5588,[212666 135132  24905],[212604 135028  24900],[212644 135086  24901],"[800.3168473416106, 215.94034830854443, 996.2000000000003]",L2/3
2747,195148545,t,91840764300469040,864691135517333386,91840764300453700,864691136309791834,2508,[197090 132270  23931],[197030 132256  23922],[197034 132269  23923],"[739.2476918146775, 199.10576000864006, 957.2400000000002]",L2/3
2748,188187690,t,91207651760936525,864691136008554926,91207651760929024,864691136309791834,6260,[192246 133506  23638],[192334 133496  23633],[192324 133450  23636],"[719.5145253523075, 202.34221692452704, 945.5200000000002]",L2/3
2766,180637126,t,90996064626267781,864691135501906498,90925695882090737,864691136309791834,10668,[190512 130104  24657],[190454 130078  24662],[190498 130114  24663],"[713.7909342736533, 188.18148724119675, 986.2800000000002]",L2/3
2775,186469630,t,91276852475463954,864691135809669836,91276852475455250,864691136309791834,1852,[192688 124828  25282],[192752 124826  25274],[192711 124804  25278],"[724.3011477207904, 167.91639791754417, 1011.2800000000002]",L2/3
2791,184929851,t,91347976999661654,864691135490822119,91347976999671821,864691136309791834,272,[193320 130588  24262],[193246 130646  24271],[193246 130596  24263],"[724.8114596046604, 191.08905347924406, 970.4800000000002]",L2/3
2823,180630106,t,90714795808160941,864691135939937190,90714795808150473,864691136309791834,816,[188716 131392  24808],[188654 131492  24798],[188672 131418  24805],"[706.1852451759263, 192.6877554698663, 992.3200000000003]",L2/3
2830,194943217,t,91839802227760963,864691135081641463,91839802227763460,864691136309791834,1424,[196916 124734  23891],[197052 124788  23896],[196982 124796  23900],"[741.1815630141913, 169.0158066324101, 955.6400000000002]",L2/3
2842,188377036,t,91420407395234485,864691136422865967,91420407395224830,864691136309791834,2628,[193796 146026  24765],[193678 146102  24756],[193738 146032  24765],"[721.3261728836737, 252.77201300999704, 990.6000000000003]",L2/3
2941,214147650,t,93740239423971149,864691135526056027,93740239423975945,864691136309791834,744,[210850 128332  24421],[210858 128358  24429],[210844 128348  24428],"[795.4511252574084, 188.21075320512995, 976.8400000000003]",L2/3
2953,164184296,t,89801445041341731,864691136418910359,89801376321844188,864691136309791834,11408,[181864 142078  23092],[181894 142018  23078],[181882 142026  23085],"[675.1561558226219, 232.88033704787208, 923.6800000000003]",L2/3
2965,198888514,t,92403989131775520,864691136050818803,92403989131782081,864691136309791834,392,[200902 134260  23951],[200884 134320  23953],[200879 134272  23952],"[753.7439088589092, 208.36442057086663, 958.0400000000003]",L2/3
2990,194851402,t,91769708495761415,864691135394616306,91769708495748689,864691136309791834,612,[196522 126764  24987],[196592 126800  24978],[196577 126746  24986],"[738.9038555388876, 176.96755013034476, 999.4800000000002]",L2/3
3035,200017952,t,92333551601031023,864691135754028237,92333551601039539,864691136309791834,7680,[200442 133386  23443],[200434 133470  23450],[200404 133418  23450],"[752.2156070910662, 204.72135733968213, 937.7200000000003]",L2/3
3039,195226475,t,92124575739132138,864691136194341708,92124575739140397,864691136309791834,1448,[198848 149578  23733],[198778 149516  23743],[198800 149594  23736],"[740.218966549753, 268.6871905299293, 949.3200000000003]",L2/3
3075,171469180,t,90432358758593449,864691135569330822,90432358758591642,864691136309791834,7948,[186480 124492  24643],[186418 124484  24647],[186432 124454  24650],"[699.6807782960291, 164.41326083939902, 985.7200000000003]",L2/3
3078,166876734,t,89869889573362098,864691135415814074,89869889573369872,864691136309791834,7636,[182388 128088  22844],[182380 128052  22853],[182421 128043  22850],"[682.121415273981, 177.31596017945705, 913.7600000000002]",L2/3
3089,209180165,t,92897807224206732,864691135491636063,92897807224198978,864691136309791834,1252,[204478 143384  23208],[204510 143344  23201],[204488 143354  23207],"[764.812641833095, 245.9682180166855, 928.3200000000003]",L2/3
3104,194299146,t,91842619860490431,864691135396725025,91842619860489800,864691136309791834,168,[196648 145838  24935],[196694 145936  24931],[196716 145880  24938],"[732.7563031180505, 253.0171473102973, 997.4000000000002]",L2/3
3106,213903228,t,93528308289285634,864691136781187182,93528239569825205,864691136309791834,320,[209030 122096  22373],[208948 122034  22376],[208958 122066  22374],"[790.3728407023981, 162.7271788487265, 894.9200000000003]",L2/3
3110,180640456,t,91069319588652867,864691135538149490,90998950844464381,864691136309791834,6260,[191036 151408  24808],[191000 151326  24802],[191048 151346  24802],"[708.4518945868693, 273.25589307058203, 992.3200000000003]",L2/3
3118,228849250,t,94585763932809727,864691135715242778,94515326469152136,864691136309791834,30700,[216620 136428  24905],[216546 136288  24905],[216556 136358  24907],"[815.6208473162258, 222.48307685074903, 996.2000000000003]",L2/3
3145,198715913,t,92825101883499068,864691135754005453,92825101883503302,864691136309791834,3860,[203928 125936  22071],[203994 125836  22080],[203964 125898  22078],"[768.7037870951377, 176.25005501342153, 882.8400000000003]",L2/3
3184,188378190,t,91560801286160433,864691136617117147,91560801286146732,864691136309791834,2940,[194824 143058  24716],[194940 143056  24705],[194880 143058  24708],"[726.4572384601272, 241.30357396843036, 988.6400000000002]",L2/3
