,id,valid,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size,pre_pt_position,post_pt_position,ctr_pt_position,pial_distances,cortex_layer,is_pre_tuned
1850,61497451,t,81578609692946413,864691135338085094,81578609692950390,864691135785592004,5100,[121904 219024  21750],[121946 219052  21753],[121962 219056  21747],"[409.4036763064524, 518.5896926647436, 870.0000000000002]",L5,nan
1901,35012639,t,78972835519247209,864691135884013424,78972835519254334,864691135785592004,1896,[102976 203252  19332],[103044 203288  19336],[103019 203277  19333],"[339.4782648229944, 449.1430259566209, 773.2800000000001]",L5,nan
1932,29274646,t,78269766619697447,864691135373377736,78269766619694238,864691135785592004,5108,[ 97930 207882  19767],[ 97992 207892  19765],[ 97990 207900  19764],"[317.75694668102386, 465.8334002536612, 790.6800000000003]",L5,nan
1934,84064924,t,82842841570920203,864691136099778933,82842841570911818,864691135785592004,6308,[131358 201402  19210],[131432 201274  19213],[131374 201330  19206],"[453.2192090042867, 451.66580235339813, 768.4000000000001]",L5,nan
1952,85100998,t,83056559143771238,864691135341342661,83056559143780588,864691135785592004,7184,[132824 220618  19318],[132736 220626  19330],[132810 220614  19325],"[452.36175570334075, 528.7483929029943, 772.7200000000001]",L5,nan
1967,37765603,t,79382540904999842,864691135269908645,79382540904997083,864691135785592004,720,[106328 110118  18048],[106276 110154  18041],[106314 110134  18048],"[385.30389511525004, 79.19322210707486, 721.9200000000002]",L1,nan
1994,39050397,t,79745929498081874,864691135855971374,79745929498076998,864691135785592004,196,[108922 196052  18138],[108966 196120  18140],[108922 196078  18137],"[365.681844913541, 422.52553083708887, 725.5200000000001]",L5,nan
2013,127534409,t,86150653113945134,864691135740204907,86150653113944039,864691135785592004,5696,[155552 204712  15701],[155672 204750  15704],[155598 204736  15705],"[548.4730050728346, 473.2900043162801, 628.0400000000001]",L5,nan
2016,73405998,t,82420835130146756,864691135463796805,82420835130149707,864691135785592004,3504,[128324 202526  18229],[128218 202488  18228],[128311 202491  18228],"[440.7375379288518, 455.0869716220329, 729.1600000000001]",L5,nan
2019,29186321,t,78480529254788768,864691136723570941,78480529254796136,864691135785592004,10116,[ 99686 205216  19678],[ 99714 205284  19685],[ 99722 205246  19682],"[325.68364708108135, 455.82216193027034, 787.1200000000002]",L5,nan
2026,41091407,t,79675767247650614,864691134947650556,79605398503493262,864691135785592004,6372,[108090 197742  20492],[107982 197794  20506],[108026 197780  20500],"[361.7773361373175, 428.9697526843248, 819.6800000000003]",L5,nan
2101,48353750,t,80241809779044969,864691135696219546,80241809779042920,864691135785592004,7416,[112658 220768  22223],[112590 220806  22217],[112624 220810  22222],"[371.9524131308196, 522.3157788888522, 888.9200000000003]",L5,nan
2129,30057517,t,78199810192423367,864691136209027004,78199810192434306,864691135785592004,3948,[ 97782 211076  19775],[ 97766 211054  19788],[ 97732 211098  19780],"[316.0536976504095, 478.5091875167747, 791.0000000000002]",L5,nan
2149,83465764,t,83125691004065583,864691135462292125,83125759723529193,864691135785592004,9020,[133320 211654  19522],[133298 211666  19508],[133330 211684  19510],"[457.4632622963148, 493.2017528018279, 780.8800000000001]",L5,nan
2175,54737148,t,80661135556308568,864691135348254423,80661066836844212,864691135785592004,5672,[115420 198862  18595],[115328 198762  18592],[115348 198786  18595],"[390.595306957858, 435.98811130913714, 743.8000000000002]",L5,nan
2176,58619757,t,81434710303381463,864691135517584778,81434710303383419,864691135785592004,8244,[121094 195636  15639],[120990 195620  15639],[121070 195664  15642],"[414.32959953016393, 425.1113016623621, 625.5600000000002]",L5,nan
2191,60053532,t,81434023377015185,864691135562885060,81434023377022105,864691135785592004,5352,[121110 190220  17629],[121076 190200  17635],[121098 190208  17632],"[416.28149800172713, 403.53531769043843, 705.1600000000001]",L5,nan
2258,86878744,t,83405997548442189,864691135571224869,83405997548445316,864691135785592004,10220,[135266 202742  18063],[135240 202684  18063],[135240 202722  18059],"[468.32456974372946, 458.36782450580114, 722.5200000000001]",L5,nan
2259,64633732,t,81998210482270730,864691135345217183,81998210482275126,864691135785592004,1208,[125108 199552  19103],[125148 199478  19105],[125176 199486  19102],"[428.9592940483258, 442.1150680188276, 764.1200000000001]",L5,nan
2270,61177902,t,81224703984986712,864691136296736539,81224703984988222,864691135785592004,3384,[119832 203874  18568],[119810 203796  18567],[119788 203822  18570],"[406.428852659176, 457.4979471644912, 742.7200000000001]",L5,nan
2275,60693035,t,81363654632909240,864691134988821626,81363654632910195,864691135785592004,8192,[120456 190540  17690],[120578 190516  17694],[120526 190548  17694],"[413.5638933208021, 404.582447480968, 707.6000000000001]",L5,nan
2283,66895387,t,82137573379687749,864691135577229317,82137573379686107,864691135785592004,5136,[126216 189178  17518],[126158 189218  17507],[126224 189202  17515],"[436.9910436513252, 401.1632470786701, 700.7200000000001]",L5,nan
2295,54737234,t,80660998117206205,864691136328930794,80660998117214421,864691135785592004,2484,[115426 197900  18469],[115438 198022  18475],[115440 197944  18475],"[390.9545909287051, 432.15684584870615, 738.7600000000001]",L5,nan
2323,115741051,t,85728922087690984,864691135909810345,85728922087701483,864691135785592004,6980,[152278 208212  18632],[152262 208250  18638],[152270 208246  18633],"[534.2066589081578, 486.0953384825411, 745.2800000000001]",L5,nan
2376,58621342,t,81152960717366191,864691135207801465,81152960717355150,864691135785592004,5232,[118980 193622  17853],[119014 193726  17845],[119047 193662  17849],"[406.60790382667534, 416.3489682138608, 714.1200000000001]",L5,nan
2384,86878288,t,83265122621090313,864691135497447364,83265122621093603,864691135785592004,4864,[134622 201850  18030],[134508 201880  18030],[134580 201916  18033],"[466.0693438915688, 454.58888862969184, 721.2000000000002]",L5,nan
2387,83466961,t,83266497212033450,864691136175071750,83266497212033597,864691135785592004,4480,[134546 211808  19648],[134538 211878  19648],[134512 211842  19645],"[462.2949131582242, 494.2428204982869, 785.9200000000002]",L5,nan
