,id,valid,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size,pre_pt_position,post_pt_position,ctr_pt_position,pial_distances,cortex_layer,is_pre_tuned
727,150067900,t,88532814110710776,864691135855783470,88532814110711855,864691135462597021,3320,[173064 127404  18402],[173074 127510  18407],[173007 127425  18405],"[645.205795926109, 171.33981090396136, 736.0800000000002]",L2/3,nan
773,124262515,t,86423332668390409,864691136008780972,86423332668382214,864691135462597021,1560,[157662 139054  20507],[157700 139066  20511],[157678 139002  20511],"[579.7707753540317, 212.39299283583898, 820.2800000000002]",L2/3,nan
780,109358306,t,85087563278321702,864691136309943898,85087563278332948,864691135462597021,8212,[147906 148500  19036],[147948 148584  19045],[147906 148510  19044],"[537.602180871722, 246.63204760355288, 761.4400000000002]",L2/3,nan
789,117833334,t,85788502008054477,864691135644647151,85788502008019237,864691135462597021,1812,[153028 127898  19466],[153006 127926  19459],[153048 127908  19462],"[565.1945482945746, 166.32328178062238, 778.6400000000001]",L2/3,nan
793,144666650,t,88247353605173298,864691136084406636,88317722349350529,864691135462597021,2404,[171040  97480  19503],[171132  97520  19494],[171094  97487  19500],"[647.5727974342818, 51.39367742788669, 780.1200000000001]",L1,nan
795,124830194,t,86070320582519709,864691135322994332,86070320582508752,864691135462597021,5744,[155098 130498  19787],[155052 130648  19785],[155044 130574  19794],"[572.5366206701987, 177.40535619072716, 791.4800000000002]",L2/3,nan
800,128890448,t,87195602081173267,864691136601891793,87195602081160120,864691135462597021,4852,[163258 125716  20304],[163192 125826  20293],[163198 125772  20297],"[606.7195306631905, 161.19490744891175, 812.1600000000002]",L2/3,nan
808,144729898,t,88247903361338146,864691136296781083,88247903361332402,864691135462597021,3004,[170760 101874  19841],[170742 101734  19838],[170782 101804  19839],"[644.9252100378861, 68.80518100966985, 793.6400000000002]",L1,nan
823,137979761,t,87267414068185427,864691134884776954,87267414001678461,864691135462597021,7392,[163746 136660  20994],[163722 136680  20981],[163706 136686  20990],"[604.8487729193441, 204.9744545624195, 839.7600000000002]",L2/3,nan
854,156579254,t,88951178486231851,864691135373819592,88951178486228604,864691135462597021,6528,[176152  98738  19801],[176126  98858  19798],[176148  98782  19800],"[667.5044189233556, 58.18868977638852, 792.0400000000003]",L1,nan
856,103377539,t,84806294460368538,864691136274028557,84806294460362916,864691135462597021,5152,[145916 150180  19339],[145940 150190  19337],[145948 150206  19340],"[529.0867844836474, 252.63271626245808, 773.5600000000002]",L2/3,nan
866,113126915,t,85437620628518031,864691135644952303,85437620628533218,864691135462597021,7464,[150498 135238  21707],[150394 135198  21716],[150440 135222  21711],"[552.554165342815, 194.68954199998973, 868.2800000000002]",L2/3,nan
871,116083337,t,85718545581057107,864691135533835460,85718545581071113,864691135462597021,7568,[152434 131178  19755],[152544 131244  19769],[152494 131256  19761],"[561.6841063470594, 179.18627417481756, 790.2000000000003]",L2/3,nan
892,139266286,t,87758552034736445,864691134917678090,87688183290536458,864691135462597021,908,[166974 125996  20413],[166912 126112  20402],[166904 126066  20405],"[621.4293542237488, 163.60612847097562, 816.5200000000002]",L2/3,nan
895,123578962,t,86562558060052164,864691135373942857,86562558060046103,864691135462597021,3572,[158612 127876  18674],[158592 127944  18670],[158618 127922  18669],"[587.4532227765137, 168.18232731720195, 746.9600000000002]",L2/3,nan
947,89942516,t,83817970811624172,864691135323255964,83817970811626715,864691135462597021,3348,[138274 126516  18202],[138364 126482  18202],[138328 126474  18205],"[506.8849189379013, 155.67273417557539, 728.0800000000002]",L2/3,nan
1016,96548998,t,84313988196132580,864691136951552991,84313988196141053,864691135462597021,3176,[141990 151908  19820],[141980 151860  19826],[142014 151882  19826],"[512.8401224509428, 258.14972023155894, 792.8000000000003]",L2/3,nan
1031,139016555,t,87618226795656775,864691135699545890,87618226795657504,864691135462597021,6780,[166274 129092  19497],[166362 129040  19500],[166334 129074  19502],"[617.560672350905, 175.69896753245038, 779.8800000000001]",L2/3,nan
1036,111194648,t,85016301248399630,864691135609437447,85016301248381984,864691135462597021,272,[147400 141728  19842],[147386 141672  19830],[147380 141726  19835],"[537.9467575623329, 219.4707223983225, 793.6800000000003]",L2/3,nan
1052,124646340,t,86490540182799592,864691135341357253,86490540182793546,864691135462597021,3700,[157916 115462  19838],[157882 115518  19832],[157887 115508  19835],"[589.007622298904, 118.47264180094871, 793.5200000000002]",L2/3,nan
1063,115889731,t,85929789252411778,864691135100167712,85929789252421694,864691135462597021,1076,[153760 131848  19644],[153840 131912  19654],[153786 131892  19649],"[566.7343456351743, 182.31835002523712, 785.7600000000001]",L2/3,nan
1070,116084833,t,86000226716248204,864691136922718180,85929857972074477,864691135462597021,11312,[154168 132726  19795],[154082 132724  19799],[154076 132756  19794],"[568.0540444139302, 185.95922397709936, 791.8000000000003]",L2/3,nan
1076,111287038,t,85227476200136647,864691135463527749,85227476200133779,864691135462597021,22944,[148758 142042  19600],[148816 142052  19596],[148812 142112  19596],"[543.2486195494761, 221.1953729337309, 784.0000000000001]",L2/3,nan
1087,97888351,t,84098621288624830,864691135516144083,84098621288623882,864691135462597021,872,[140536 120076  19055],[140668 120102  19057],[140614 120106  19055],"[518.143620499415, 130.79934391311284, 762.2000000000002]",L2/3,nan
