,id,valid,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,size,pre_pt_position,post_pt_position,ctr_pt_position,pial_distances,cortex_layer
470,146754247,t,87761300746454934,864691136812389230,87761300746455028,864691135684442807,5468,[167406 146316  19688],[167376 146408  19689],[167360 146404  19687],"[616.0667598915217, 244.72743865534076, 787.5200000000002]",L2/3
540,164880379,t,89662013155968617,864691135841062627,89591644411781161,864691135684442807,8116,[180792 152044  22607],[180686 152028  22610],[180716 152072  22612],"[667.4100964283118, 272.2189186676995, 904.2800000000002]",L2/3
550,189059969,t,91209163455530102,864691135939874726,91279532199720501,864691135684442807,1664,[192536 144822  22924],[192554 144800  22917],[192618 144788  22917],"[716.725093662364, 247.53507440053912, 916.9600000000003]",L2/3
555,165073471,t,89732587991839823,864691136136630141,89732587991846913,864691135684442807,17140,[181302 153434  22420],[181362 153358  22429],[181334 153366  22422],"[668.957747682742, 277.9355589042948, 896.8000000000003]",L2/3
558,160934842,t,89099338214603351,864691135660689904,89099269495116818,864691135684442807,6116,[177124 153858  23572],[177030 153770  23567],[177062 153802  23570],"[652.1615257485328, 278.16855833945954, 942.8800000000002]",L2/3
564,181504187,t,91138313607569488,864691135348245719,91067944863397568,864691135684442807,3464,[191544 141278  22088],[191500 141222  22098],[191522 141218  22089],"[714.0077129095266, 233.06718437316775, 883.5200000000002]",L2/3
622,160880889,t,88957981781698794,864691135509075465,88958050501155386,864691135684442807,2460,[175778 149698  20403],[175872 149736  20398],[175796 149734  20403],"[648.2482850533277, 261.12263204425943, 816.1200000000002]",L2/3
627,152032733,t,88745089446378258,864691135385698389,88745089446385933,864691135684442807,9144,[174386 136194  24722],[174336 136098  24716],[174336 136122  24722],"[647.4092775746104, 206.82689605651674, 988.8800000000002]",L2/3
628,185352184,t,91348457834852954,864691135323245212,91348457834842234,864691135684442807,6456,[193370 133974  22830],[193326 133860  22832],[193368 133928  22831],"[723.8302611645045, 204.59894561874827, 913.2000000000003]",L2/3
657,181957669,t,90857663264585865,864691135544574248,90787363239874465,864691135684442807,228,[189478 147604  22090],[189458 147656  22101],[189486 147614  22094],"[703.5697710100098, 257.5546399556146, 883.6000000000003]",L2/3
659,174844404,t,90295537878121562,864691135771603195,90295537878111477,864691135684442807,4400,[185540 153528  21892],[185578 153504  21882],[185570 153512  21887],"[685.8124696455201, 279.7875922618355, 875.6800000000003]",L2/3
