id,pt_root_id,pt_position_x,pt_position_y,pt_position_z,session,scan_idx,unit_id
190478,864691135864971134,145120,142944,19913,4,7,3277
190196,864691135615114443,132352,138128,18778,7,4,6101
190196,864691135615114443,132352,138128,18778,8,5,2180
190232,864691135864734684,136080,127984,19252,5,6,2590
296386,864691135885042032,183824,154256,20271,5,7,5195
190465,864691135655126722,142608,140704,19653,4,7,3860
190465,864691135655126722,142608,140704,19653,8,5,5085
188231,864691136990871957,146384,120800,17205,6,2,1836
188231,864691136990871957,146384,120800,17205,7,4,2620
190309,864691136010955683,145072,128288,19000,9,4,4839
190516,864691135383527898,135792,136704,20520,7,4,5688
190511,864691135495342224,134720,127392,20549,5,6,2216
190511,864691135495342224,134720,127392,20549,9,4,5172
190513,864691135066232644,134912,138720,20435,8,5,2183
559126,864691135716197914,315472,166560,23506,6,6,6293
190340,864691135498699027,132448,131568,19711,9,4,8011
188571,864691135725025195,145056,114272,18874,6,7,1540
190574,864691136451789311,145712,141344,20810,4,7,3272
190227,864691135738256497,133936,143440,19340,4,7,3255
190274,864691136228208977,140320,137856,19422,8,5,2152
190463,864691135866369046,142192,128816,19935,9,4,8205
188582,864691136423518767,146688,113408,18953,6,7,1263
190312,864691135658751106,145152,129088,19260,9,4,7679
190501,864691135591211019,132416,138752,20708,8,5,2639
190501,864691135591211019,132416,138752,20708,8,5,5776
190501,864691135591211019,132416,138752,20708,9,6,5255
190485,864691135726362175,146320,128560,20197,9,4,7682
190514,864691135847938398,134960,139936,20581,8,5,5114
190462,864691135992581569,142176,136560,19693,7,4,5567
190597,864691135304040359,133536,138288,21696,8,5,5245
190346,864691135349133015,135184,131792,19892,5,3,2460
190483,864691136389683216,145584,137152,19675,8,5,2612
190598,864691135571267365,133760,138000,21208,9,6,4888
190270,864691135416538810,139184,130608,19297,9,4,7709
190283,864691135476982696,141472,129152,19090,9,4,7787
190283,864691135476982696,141472,129152,19090,9,4,4954
190539,864691135292728246,140768,138224,21040,9,6,5247
190531,864691135492302431,138960,138592,21040,9,6,4861
190475,864691135786045124,143920,143568,20097,4,7,3465
190442,864691136389616912,140144,140144,19936,8,5,5084
156916,864691135585814652,124176,157968,18508,6,2,5064
157059,864691135616899689,129472,152528,18843,6,4,4804
191236,864691135404657390,146080,142304,25981,6,6,4297
157063,864691135441561928,130272,154864,18938,6,2,5082
190634,864691135469055570,140416,131984,21351,9,6,2090
