id,target_id,classification_system,cell_type,pt_root_id,pt_position_x,pt_position_y,pt_position_z
68716,356932,aibs_nonneuronal,astrocyte,864691135807290141,215760,87888,23536
68717,585875,aibs_neuronal,4P,864691135233794649,328688,153568,21210
68718,424210,aibs_neuronal,23P,864691136137658493,253616,127616,23302
68719,190636,aibs_neuronal,23P,864691135776734637,140080,143456,21424
68720,489696,aibs_neuronal,4P,864691135867753494,293408,141504,27043
68721,428524,aibs_neuronal,BC,864691136089177143,249504,169440,21907
68722,562984,aibs_nonneuronal,pericyte,864691135209034617,313040,200448,23695
68723,308177,aibs_neuronal,6P-IT,864691135687572704,192576,242560,16556
68724,301459,aibs_neuronal,BC,864691135583959160,185408,180128,24889
68725,361442,aibs_neuronal,23P,864691136123694630,224480,141456,21628
68726,566369,aibs_neuronal,6P-CT,864691135394667509,326960,233744,22894
68727,389630,aibs_neuronal,23P,864691136483460140,235632,104048,23023
68728,671055,aibs_neuronal,6P-IT,864691135489120314,369488,220096,17329
68729,438517,aibs_neuronal,6P-CT,864691136194928598,259520,248000,23094
68730,305882,aibs_neuronal,6P-IT,864691136273017278,191248,228688,15652
68731,520542,aibs_nonneuronal,astrocyte,864691135490602215,296944,142944,23463
68732,536730,aibs_neuronal,6P-IT,864691134940778595,306000,255312,23755
68733,307182,aibs_nonneuronal,oligo,864691135736927364,182352,232000,24069
68734,153208,aibs_nonneuronal,microglia,864691135440504904,118192,117808,20072
68735,356992,aibs_nonneuronal,astrocyte,864691135366940921,222464,85936,25222
68736,264261,aibs_neuronal,5P-IT,864691136136623741,173040,192944,18016
68737,294335,aibs_neuronal,23P,864691136021240568,195968,131264,18991
68738,259407,aibs_neuronal,4P,864691135511395536,166032,154064,15610
68739,590564,aibs_neuronal,5P-IT,864691134965634591,333584,204608,19854
68740,588811,aibs_neuronal,5P-IT,864691135847927646,327760,189008,19129
68741,620264,aibs_neuronal,BC,864691135989321216,354080,193440,25036
68742,203220,aibs_neuronal,6P-CT,864691136740400732,131808,236240,21293
68743,363529,aibs_neuronal,4P,864691135163335213,223792,146304,21546
68744,260632,aibs_neuronal,4P,864691136389771024,176864,156672,21511
68745,588096,aibs_nonneuronal,oligo,864691135926311892,335824,168128,26701
68746,461492,aibs_nonneuronal,oligo,864691135013322486,277680,185280,18684
68747,566793,aibs_neuronal,6P-IT,864691136540469666,323536,239536,26176
68748,324252,aibs_neuronal,23P,864691136619210893,198672,109696,21109
68749,73671,aibs_neuronal,4P,864691136136629373,92336,176304,17398
68750,196919,aibs_neuronal,5P-IT,864691135463318173,140448,189232,19879
68751,302210,aibs_neuronal,5P-ET,864691135800748130,193696,193472,16313
68752,584038,aibs_nonneuronal,astrocyte,864691135396388129,341104,139168,21355
68753,496286,aibs_neuronal,5P-IT,864691134948423932,286512,203088,15959
68754,585121,aibs_neuronal,4P,864691135866361110,337072,150304,16795
68755,467477,aibs_neuronal,6P-CT,864691135816466767,266016,227568,16783
68756,306187,aibs_nonneuronal,astrocyte,864691135337696998,192208,227200,16977
68757,522888,aibs_neuronal,4P,864691135889558153,301712,159536,25981
68758,555233,aibs_neuronal,23P,864691135693708991,322064,130464,23965
68759,560942,aibs_neuronal,MC,864691135808474909,324784,185744,23008
68760,593978,aibs_neuronal,6P-IT,864691135800588386,339392,229056,17051
68761,133085,aibs_nonneuronal,oligo,864691135462728766,110224,252560,20493
68762,152327,aibs_neuronal,BPC,864691135403777262,118880,101520,24360
68763,585372,aibs_neuronal,4P,864691136042025046,338320,153280,17439
68764,434059,aibs_neuronal,MC,864691136362339042,259232,214576,18839
68765,270585,aibs_neuronal,6P-IT,864691135360811335,173760,227920,16268
68766,303897,aibs_nonneuronal,astrocyte,864691136436379294,185168,212416,15591
68767,172131,aibs_neuronal,6P-CT,864691135876685907,119680,249840,21182
68768,70204,aibs_neuronal,23P,864691135778801516,92336,156000,15958
68769,424616,aibs_nonneuronal,microglia,864691136123733798,254048,142672,26082
68770,408365,aibs_neuronal,6P-IT,864691136176021510,236912,254448,24686
68771,554018,aibs_neuronal,23P,864691136595482530,318032,112560,26691
68772,360393,aibs_neuronal,BC,864691135526462811,227440,116432,27305
68773,262612,aibs_nonneuronal,astrocyte,864691136056372696,166336,166528,20856
68774,490605,aibs_neuronal,4P,864691135701427579,280224,156816,19383
68775,104848,aibs_neuronal,23P,864691135585923196,105120,101296,20728
68776,172372,aibs_neuronal,6P-CT,864691135889373321,119824,243536,22939
68777,241200,aibs_neuronal,6P-IT,864691136378760661,162304,258832,23944
68778,454889,aibs_neuronal,23P,864691135386376277,262928,128144,15236
68779,494125,aibs_neuronal,5P-IT,864691136561501602,292496,171856,27552
68780,361315,aibs_neuronal,23P,864691135510441424,220288,131952,20437
68781,166834,aibs_neuronal,5P-IT,864691136716180334,125408,218112,18062
68782,202519,aibs_neuronal,6P-CT,864691135741199211,143904,237888,16516
68783,561044,aibs_neuronal,BC,864691135720524180,314976,187952,24180
68784,662731,aibs_nonneuronal,microglia,864691135572256805,365808,174688,23386
68785,157806,aibs_nonneuronal,astrocyte,864691136618383757,127296,150512,24049
68786,327207,aibs_neuronal,23P,864691135279145889,202928,127440,15522
68787,266353,aibs_nonneuronal,microglia,864691135785240260,167584,207920,17821
68788,553850,aibs_neuronal,23P,864691136724140797,312608,112624,25426
68789,221684,aibs_neuronal,23P,864691135104785997,155872,110480,25266
68790,485781,aibs_neuronal,23P,864691135758525262,278400,102544,23356
68791,191139,aibs_nonneuronal,OPC,864691135209034617,146528,140944,25042
68792,585889,aibs_neuronal,4P,864691136042154838,332368,147584,21240
68793,372720,aibs_nonneuronal,oligo,864691135918774704,224752,224720,26439
68794,258156,aibs_neuronal,23P,864691136135621515,177760,142080,19742
68795,470978,aibs_neuronal,6P-CT,864691136578530580,266608,247200,25442
68796,490658,aibs_neuronal,4P,864691135065788996,288464,158816,19037
68797,372136,aibs_neuronal,6P-CT,864691134940691555,221600,218256,21259
68798,488161,aibs_neuronal,23P,864691135653306691,287968,136288,15083
68799,161028,aibs_neuronal,5P-IT,864691136925345610,126688,184800,15387
68800,389600,aibs_nonneuronal,pericyte,864691135209034617,232224,105216,22994
68801,360729,aibs_neuronal,23P,864691136273849613,224096,137440,16822
68802,717210,aibs_neuronal,6P-IT,864691135294110220,385984,222608,24867
68803,716890,aibs_neuronal,6P-IT,864691135974298624,386400,223920,22204
68804,298492,aibs_neuronal,4P,864691135726445119,182624,163232,19382
68805,498489,aibs_neuronal,6P-IT,864691135776537952,294000,212912,16706
68806,391605,aibs_nonneuronal,astrocyte,864691136023752249,229680,121920,26429
68807,221023,aibs_neuronal,23P,864691135463804222,162384,109808,20145
68808,126228,aibs_neuronal,4P,864691135975268719,107776,218336,16805
68809,517305,aibs_nonneuronal,OPC,864691135616273001,299680,99456,24914
68810,429210,aibs_nonneuronal,pericyte,864691135209034617,253072,173120,26773
68811,112850,aibs_neuronal,4P,864691135874408846,113648,154384,19411
68812,236112,aibs_neuronal,6P-IT,864691135927245268,155184,241296,18760
68813,33519,aibs_neuronal,4P,864691135748544297,77360,171952,20849
68814,566878,aibs_neuronal,6P-IT,864691136618454157,321392,232688,26592
68815,155470,aibs_neuronal,23P,864691135800675682,120912,143200,23133
68816,330898,aibs_neuronal,4P,864691136618187739,202400,156384,24410
68817,365099,aibs_neuronal,4P,864691135889318025,216976,169328,18683
68818,485180,aibs_neuronal,23P,864691136389124727,290896,108576,15951
68819,396239,aibs_neuronal,4P,864691136391159167,233456,167632,18403
68820,189899,aibs_neuronal,23P,864691135565464087,141008,139312,16821
68821,566610,aibs_nonneuronal,oligo,864691135687241952,315072,239280,24961
68822,424202,aibs_neuronal,BC,864691136618414477,251952,139104,23030
68823,560742,aibs_neuronal,5P-IT,864691136195114060,312240,180224,21389
68824,67799,aibs_nonneuronal,astrocyte,864691135777157053,90368,132560,21093
68825,299856,aibs_nonneuronal,microglia,864691135581568109,186512,169120,27470
68826,559024,aibs_nonneuronal,oligo,864691135081672183,324848,170176,21884
