id,target_id,cell_type,pt_root_id,pt_position_x,pt_position_y,pt_position_z
48061,26335,23P,864691136922759652,80432,130704,19449
47767,454432,23P,864691135848787550,262592,118976,24618
18291,26363,23P,864691135538106482,67536,128912,20109
2655,26500,23P,864691135059268251,75328,138112,19973
40900,26378,23P,864691136118597713,68736,136176,19821
19994,26381,5P-PT,864691135571273253,69280,132080,20059
20450,26398,BC,864691135577011461,71104,141216,19921
6433,26418,23P,864691135280361167,72224,134368,19850
31964,26424,23P,864691135837208211,72480,129904,19903
35102,26468,23P,864691135939392513,73552,143264,20080
28313,26448,23P,864691135565398807,73328,138960,19859
35698,26516,23P,864691135945495076,75584,131280,19923
28032,26555,23P,864691136990806933,77360,133968,19819
37930,27300,23P,864691136011808419,81264,143904,14949
8253,26573,23P,864691135345197727,80464,132272,19846
41205,26596,6P-CT,864691136136563069,66000,141168,20330
1329,26619,5P-PT,864691135012453622,70640,139648,20634
8901,26621,BPC,864691135358806872,71520,135136,20617
19799,26622,5P-PT,864691135570713581,71792,132368,20789
48715,26623,23P,864691136973706012,71200,143488,20831
30546,26631,6P-CT,864691135780842832,73888,132688,20941
10168,276278,6P-CT,864691136089836087,178208,261872,23072
1361,26649,BPC,864691135012470518,75536,137216,21058
31223,26670,5P-PT,864691135807271453,65296,135920,21256
23017,26642,5P-PT,864691135464263493,74928,141760,20573
23915,27268,6P-CT,864691135565449047,77792,149504,15155
47426,27261,23P,864691135213651328,76800,155648,15043
40893,26797,BPC,864691135387532161,71792,135424,21384
5812,26717,5P-PT,864691135837765011,66064,139184,21218
31225,26975,6P-CT,864691135807272221,81760,136880,21337
33076,26834,23P,864691136089517367,74080,133440,21438
28340,26661,BPC,864691135582471277,80320,137696,20953
30800,27273,23P,864691135784315756,78032,145392,15182
5597,26894,23P,864691135256456623,77088,128480,21546
3483,26648,23P,864691135740938091,75408,142928,21044
18394,64225,23P,864691135275005925,97440,113712,20842
27472,159896,23P,864691136011744419,127744,169168,23289
12978,64272,23P,864691135463171485,89312,117344,21343
13983,64226,23P,864691135467558028,97360,117776,20955
28029,64256,5P-PT,864691135748596265,82000,127392,21449
47091,64259,23P,864691136745244132,83696,118368,21690
7564,64271,23P,864691135337754598,89088,122352,21097
