id,target_id,cell_type,pt_root_id,pt_position_x,pt_position_y,pt_position_z
127940,171236,not-neuron,864691135736911492,123824,252896,17852
127941,499734,not-neuron,864691135776558432,289440,216208,25156
127942,341578,not-neuron,864691136026369442,211088,226464,18090
127943,555294,neuron,864691135374411849,315152,134176,24610
127944,525435,neuron,864691134917979146,303776,164912,23562
127945,613433,neuron,864691135952248835,353520,136176,27810
127946,452782,neuron,864691135123161639,269008,109440,23680
127947,614411,neuron,864691135014127254,359520,156544,20261
127948,197847,neuron,864691135580235972,145904,189792,26122
127949,360422,neuron,864691136329671146,215584,135056,15530
127950,520491,neuron,864691135974459503,305200,140640,22871
127951,343921,neuron,864691136056314328,209056,250800,20117
127952,452507,neuron,864691136041037142,267680,108080,20743
127953,162896,not-neuron,864691134788402804,117696,185456,26126
127954,567781,neuron,864691135511450832,317264,247168,20231
127955,392325,not-neuron,864691135776649312,232000,140512,18015
127956,193763,neuron,864691136085106769,138880,165728,15075
127957,498709,neuron,864691135937199364,292336,210816,18073
127958,265952,neuron,864691135616573033,174512,206688,15153
127959,461771,not-neuron,864691136723581437,264592,184320,21039
127960,623843,neuron,864691136903936178,354192,226880,21337
127961,194604,neuron,864691136330031850,135728,174080,20230
127962,380304,neuron,864691135204663632,225632,278064,17883
127963,133043,neuron,864691136109406595,101648,241904,20749
127964,752496,neuron,864691135209034617,394736,159232,22655
127965,67153,not-neuron,864691136118888216,90784,127184,16830
127966,405836,neuron,864691135561404641,244432,238208,20829
127967,564002,neuron,864691136106224089,322096,223456,18306
127968,666129,neuron,864691136389219191,366912,192496,22408
127969,554534,neuron,864691136297321499,315088,141856,18458
127970,489410,neuron,864691136273748158,289920,137488,24870
127971,257953,not-neuron,864691134939997795,172400,132096,19516
127972,191494,neuron,864691135961825361,131280,144192,15040
127973,258155,neuron,864691135270552229,177728,136672,19829
127976,237122,not-neuron,864691135739595668,157280,234960,25851
127977,126326,neuron,864691135874322574,104896,219632,17980
127978,402092,not-neuron,864691135699254562,239760,198672,25426
127979,274764,not-neuron,864691136008498092,163920,270944,16382
127980,627824,not-neuron,864691136723298813,348336,270128,19612
127981,471094,neuron,864691135415503802,272752,247680,26299
127982,376323,not-neuron,864691136175042822,227488,243520,22234
127983,231914,neuron,864691136236888591,162480,204752,16542
127984,452789,neuron,864691136437172638,271232,105168,24076
127986,170063,neuron,864691136176003078,125776,237888,24733
127988,361982,neuron,864691136419566487,224512,136784,26292
127989,224422,not-neuron,864691135018027210,156592,128384,22176
127990,680315,not-neuron,864691135064840916,361552,267824,16655
127991,465270,neuron,864691135685019319,265488,215424,15355
127992,271308,neuron,864691136618397069,173408,240336,20118
127993,429183,neuron,864691135639341371,247968,171440,27104
127994,467338,neuron,864691135969795173,264320,231312,16288
