target_id,pt_root_id,cell_type,pt_position,pial_distances,layer,brain_region
64087,864691135776621152,exc,[ 87584 119184  19618],"[307.4525855761222, 108.78463767042552, 784.7200000000001]",L23,V1
64092,864691136662210526,exc,[ 89280 121440  19956],"[313.4242769854218, 118.36556318480551, 798.2400000000002]",L23,V1
64094,864691135776643424,exc,[ 89408 123664  19742],"[313.1589911833616, 127.27233495931648, 789.6800000000003]",L23,V1
64056,864691136194837974,exc,[ 82320 118768  19650],"[286.62173716903453, 105.29181837350613, 786.0000000000001]",L23,V1
64091,864691136389487120,exc,[ 87568 126864  20068],"[304.7114046982363, 139.3821608282681, 802.7200000000003]",L23,V1
64105,864691135856611374,exc,[ 92848 122592  19691],"[327.240354054006, 124.19991511410684, 787.6400000000002]",L23,V1
64109,864691135939667110,inh,[ 94000 114208  20089],"[334.7536742115982, 91.19314338148327, 803.5600000000003]",L1,V1
64047,864691136089870135,exc,[ 98176 121200  18999],"[348.95653863535625, 120.5105662245701, 759.9600000000002]",L23,V1
64017,864691136100769397,exc,[ 95008 126144  19346],"[334.6091674525599, 139.10687500193418, 773.8400000000001]",L23,V1
64171,864691134988410490,exc,[ 84128 117824  20579],"[294.1553173102492, 102.16049752506277, 823.1600000000002]",L23,V1
64178,864691135686879712,exc,[ 85328 115792  20699],"[299.6454537381426, 94.48177458416181, 827.9600000000003]",L1,V1
64180,864691135210057664,exc,[ 85760 119344  20511],"[300.12856938348637, 108.78631397811725, 820.4400000000003]",L23,V1
64186,864691135233134937,exc,[ 88176 118896  20478],"[309.9119780368488, 107.8434061770502, 819.1200000000002]",L23,V1
63910,864691136389493264,exc,[ 85760 126608  18121],"[297.59617212221036, 137.73174712587107, 724.8400000000001]",L23,V1
64193,864691136031763387,inh,[ 89888 123120  20439],"[315.2613358999167, 125.27195432234433, 817.5600000000003]",L23,V1
23234,864691136227702865,exc,[ 76048 119040  20026],"[261.5343791351994, 104.18911493097671, 801.0400000000003]",L23,V1
64000,864691136109683384,exc,[ 91184 126000  19183],"[319.42157505837116, 137.1999326147652, 767.3200000000002]",L23,V1
64072,864691136209946300,exc,[ 84976 127328  19681],"[294.2210970098814, 140.32746744711866, 787.2400000000002]",L23,V1
63997,864691135754454733,exc,[ 90688 126352  19438],"[317.32240949156846, 138.42965775606694, 777.5200000000001]",L23,V1
64084,864691136334334387,exc,[ 87760 119280  20242],"[308.1204388383637, 109.22853407738707, 809.6800000000003]",L23,V1
63950,864691135195378986,exc,[ 94800 118672  18454],"[336.3852443029896, 109.260094287402, 738.1600000000001]",L23,V1
63927,864691135342080177,exc,[ 88640 117520  18105],"[312.24062060459016, 102.52211161729292, 724.2000000000002]",L23,V1
64111,864691135359705688,exc,[ 94608 123312  20191],"[334.0025561894586, 127.68253227355454, 807.6400000000002]",L23,V1
63942,864691135349254615,exc,[ 92288 118608  18759],"[326.3977918467071, 108.12932754156203, 750.3600000000001]",L23,V1
64076,864691135762036278,inh,[ 86560 119696  19884],"[303.19367713159124, 110.46785448982293, 795.3600000000002]",L23,V1
63947,864691135476915880,exc,[ 93952 115520  18077],"[334.10501149162485, 96.40443925446121, 723.0800000000002]",L1,V1
64009,864691135490969447,exc,[ 92608 120144  18999],"[327.137436176823, 114.36150711735472, 759.9600000000002]",L23,V1
64143,864691135502499394,exc,[ 98336 122048  20087],"[349.2984709627349, 123.94543831585581, 803.4800000000002]",L23,V1
64065,864691135293946380,exc,[ 83760 124592  20076],"[290.3294384469936, 129.00118713847797, 803.0400000000003]",L23,V1
64106,864691136952832223,exc,[ 92944 124304  19841],"[327.02605029173725, 131.0553242118542, 793.6400000000002]",L23,V1
64181,864691135590887179,exc,[ 85808 121056  20984],"[299.722996239184, 115.62498917325715, 839.3600000000002]",L23,V1
63936,864691135654980802,exc,[ 91920 118720  18281],"[324.89234747836514, 108.44732951298258, 731.2400000000001]",L23,V1
23333,864691135730185913,exc,[ 79216 119808  19630],"[273.89041590769716, 108.35386261561287, 785.2000000000002]",L23,V1
23343,864691135581598829,exc,[ 79936 120656  20311],"[276.4638243588014, 111.98396357065334, 812.4400000000003]",L23,V1
23356,864691136056380376,exc,[ 66800 119216  20664],"[224.62178722049518, 101.66637076271192, 826.5600000000003]",L23,V1
332833,864691135387371905,exc,[209328 174304  20004],"[773.3593967130445, 370.8683996859772, 800.1600000000002]",L4,V1
23363,864691135134698777,exc,[ 68816 118448  20634],"[232.9228437076278, 99.30888455969125, 825.3600000000002]",L23,V1
23365,864691136324728215,inh,[ 69088 126656  20724],"[231.14520619326055, 132.1107743355488, 828.9600000000003]",L23,V1
23372,864691135564685911,exc,[ 71520 124928  20661],"[241.4386087101688, 126.0729276477879, 826.4400000000003]",L23,V1
23374,864691135761535798,exc,[ 71904 118240  20687],"[245.30035419642314, 99.55659830529795, 827.4800000000002]",L23,V1
23378,864691135385179733,exc,[ 73472 120624  20722],"[250.7173701800129, 109.6029517648141, 828.8800000000002]",L23,V1
23382,864691135771640315,exc,[ 74208 123040  20637],"[252.8078942732816, 119.48676383382187, 825.4800000000002]",L23,V1
23332,864691135969795429,exc,[ 79024 122176  19743],"[272.29979918425687, 117.72288318550767, 789.7200000000003]",L23,V1
23487,864691135700202786,exc,[ 70112 126640  21214],"[235.23119764418016, 132.40400779716538, 848.5600000000003]",L23,V1
23394,864691135134701337,exc,[ 78992 126624  20967],"[270.62161128793485, 135.43602331888425, 838.6800000000003]",L23,V1
23398,864691135474688832,exc,[ 80048 123488  20593],"[275.92281932970104, 123.30790288338758, 823.7200000000003]",L23,V1
23399,864691135953781512,exc,[ 80448 114656  21033],"[280.5957689264371, 88.25378577759862, 841.3200000000003]",L1,V1
23400,864691136123786022,exc,[ 80672 123696  20333],"[278.33680771817194, 124.35427760609804, 813.3200000000003]",L23,V1
63898,864691135808314909,exc,[ 83408 117632  18041],"[291.3532121901752, 101.14441145781504, 721.6400000000001]",L23,V1
23416,864691135536515177,inh,[ 66752 120864  21100],"[223.855987182269, 108.21655230992515, 844.0000000000002]",L23,V1
23580,864691136227921745,exc,[ 74992 127120  21271],"[254.50957912485552, 136.0179817159358, 850.8400000000003]",L23,V1
23385,864691135208201081,exc,[ 75104 125840  20698],"[255.40211175246867, 130.95651063445706, 827.9200000000003]",L23,V1
23389,864691135118847709,exc,[ 77184 121024  20696],"[265.36941986888286, 112.49095175007812, 827.8400000000003]",L23,V1
23550,864691136123767846,exc,[ 73968 119936  21301],"[252.93367306506846, 107.034340949277, 852.0400000000003]",L23,V1
23600,864691135354947279,exc,[ 76464 116032  21335],"[264.24070500956384, 92.34792747946886, 853.4000000000002]",L1,V1
24091,864691136807843556,exc,[ 80432 133440  15669],"[273.9834785786711, 163.09829264588427, 626.7600000000001]",L23,V1
24095,864691136811907300,inh,[ 81552 128112  15324],"[280.3038940155602, 142.25784896766237, 612.9600000000002]",L23,V1
25017,864691135783403116,exc,[ 79248 135680  16907],"[268.4845850334896, 171.61142754313332, 676.2800000000001]",L23,V1
25033,864691135909049513,exc,[ 81376 142864  16502],"[274.45968688004984, 200.97994806976587, 660.0800000000002]",L23,V1
25522,864691135429211833,exc,[ 81840 136160  17940],"[278.64579263722925, 174.4277521042772, 717.6000000000001]",L23,V1
365555,864691135468800594,exc,[225264 172368  19602],"[837.5357656200426, 368.70952360966146, 784.0800000000002]",L4,V1
26335,864691136922759652,exc,[ 80432 130704  19449],"[274.93731102730146, 152.19593786996808, 777.9600000000002]",L23,V1
454432,864691135848787550,exc,[262592 118976  24618],"[1004.8932660486491, 168.96761258874176, 984.7200000000003]",L23,RL
26343,864691135310113781,inh,[ 81424 132848  19042],"[278.14276393952565, 161.0851375880256, 761.6800000000002]",L23,V1
26363,864691135538106482,exc,[ 67536 128912  20109],"[224.17433608495207, 140.55937244015135, 804.3600000000002]",L23,V1
26500,864691135059268251,exc,[ 75328 138112  19973],"[252.0164011019618, 179.93580751988648, 798.9200000000003]",L23,V1
26381,864691135571273253,exc,[ 69280 132080  20059],"[230.01935272674183, 153.79115011577755, 802.3600000000002]",L23,V1
26468,864691135939392513,exc,[ 73552 143264  20080],"[243.14332842017427, 199.8462334616818, 803.2000000000003]",L23,V1
26516,864691135945495076,exc,[ 75584 131280  19923],"[255.41829661061576, 152.80104629100887, 796.9200000000003]",L23,V1
26557,864691135728905153,inh,[ 77392 132992  19645],"[262.0259341408793, 160.25329791509228, 785.8000000000002]",L23,V1
26555,864691136990806933,exc,[ 77360 133968  19819],"[261.5581651998367, 164.13128608137072, 792.7600000000002]",L23,V1
26562,864691135097770704,inh,[ 78656 139536  19690],"[264.78130581226844, 186.77034976767393, 787.6000000000003]",L23,V1
26564,864691135385284693,inh,[ 79776 130752  19721],"[272.3065622369012, 152.15851058303187, 788.8400000000003]",L23,V1
26573,864691135345197727,exc,[ 80464 132272  19846],"[274.51818313014394, 158.45522695147125, 793.8400000000003]",L23,V1
26596,864691136136563069,exc,[ 66000 141168  20330],"[213.7809927274152, 188.86133643595937, 813.2000000000003]",L23,V1
26619,864691135012453622,exc,[ 70640 139648  20634],"[232.80027323990376, 184.4220832569581, 825.3600000000002]",L23,V1
26621,864691135358806872,exc,[ 71520 135136  20617],"[237.87986542229643, 166.74954956027, 824.6800000000003]",L23,V1
26622,864691135570713581,exc,[ 71792 132368  20789],"[239.92871363752238, 155.81450731110777, 831.5600000000003]",L23,V1
26623,864691136973706012,exc,[ 71200 143488  20831],"[233.69303715502525, 199.9188626834021, 833.2400000000002]",L23,V1
26631,864691135780842832,exc,[ 73888 132688  20941],"[248.16925063560655, 157.8203502718616, 837.6400000000002]",L23,V1
276278,864691136089836087,exc,[178208 261872  23072],"[618.8248643708762, 708.9583621187405, 922.8800000000002]",L6,V1
26649,864691135012470518,exc,[ 75536 137216  21058],"[253.15760127278173, 176.4379592998918, 842.3200000000003]",L23,V1
26563,864691136912499185,exc,[ 79696 134704  20052],"[270.61002195215684, 167.87846653278692, 802.0800000000003]",L23,V1
26670,864691135807271453,exc,[ 65296 135920  21256],"[212.80528180934772, 167.70378676204007, 850.2400000000002]",L23,V1
26642,864691135464263493,exc,[ 74928 141760  20573],"[249.15071298684117, 194.33283136604499, 822.9200000000003]",L23,V1
26797,864691135387532161,exc,[ 71792 135424  21384],"[238.86332183817498, 167.9919913005812, 855.3600000000002]",L23,V1
26717,864691135837765011,exc,[ 66064 139184  21218],"[214.72768654457212, 180.97784718204667, 848.7200000000003]",L23,V1
26975,864691135807272221,exc,[ 81760 136880  21337],"[278.0760017947267, 177.26890299710217, 853.4800000000002]",L23,V1
26661,864691135582471277,exc,[ 80320 137696  20953],"[272.05344398938985, 180.01846541344707, 838.1200000000002]",L23,V1
26648,864691135740938091,exc,[ 75408 142928  21044],"[250.6562151770603, 199.15439202160522, 841.7600000000002]",L23,V1
64225,864691135275005925,exc,[ 97440 113712  20842],"[348.63423025095193, 90.41595612067701, 833.6800000000003]",L1,V1
159896,864691136011744419,exc,[127744 169168  23289],"[450.05573129558445, 321.96051934308053, 931.5600000000003]",L4,V1
64272,864691135463171485,exc,[ 89312 117344  21343],"[314.9797495959551, 102.05506518634205, 853.7200000000003]",L23,V1
64226,864691135467558028,exc,[ 97360 117776  20955],"[346.8986441934566, 106.58220729517721, 838.2000000000003]",L23,V1
64256,864691135748596265,exc,[ 82000 127392  21449],"[282.34008345365385, 139.54499132816196, 857.9600000000003]",L23,V1
64271,864691135337754598,exc,[ 89088 122352  21097],"[312.34125530774384, 121.93274583301397, 843.8800000000002]",L23,V1
64224,864691136040275454,exc,[ 97072 117072  20772],"[345.9964584728324, 103.6765196097055, 830.8800000000002]",L23,V1
64273,864691135564692823,exc,[ 89584 120560  21470],"[314.9424379527731, 114.96493923070375, 858.8000000000003]",L23,V1
64274,864691136301453207,exc,[ 89920 119872  21195],"[316.52117623104994, 112.34054873980809, 847.8000000000003]",L23,V1
64220,864691135387547777,exc,[ 96128 122528  20840],"[340.3327403631131, 125.08837261624465, 833.6000000000003]",L23,V1
64914,864691135693567679,exc,[ 97776 118064  22399],"[348.45590875543604, 107.874850743311, 895.9600000000003]",L23,V1
