id,tuning_type,pref_ori,layer,osi,cell_type
187,direction,8,L2/3,0.41082504,excitatory
188,direction,13,L2/3,0.3257163,excitatory
189,direction,9,L2/3,0.45965144,excitatory
190,direction,0,L2/3,0.442386,excitatory
191,direction,8,L2/3,0.25915256,excitatory
192,direction,2,L2/3,0.41342816,excitatory
193,direction,8,L2/3,0.8005517,excitatory
194,direction,11,L2/3,0.5942233,excitatory
195,direction,8,L2/3,0.44363865,excitatory
196,direction,12,L2/3,0.5961751,excitatory
197,direction,3,L2/3,0.62771094,excitatory
198,direction,8,L4,0.43458265,excitatory
199,direction,8,L4,0.5141286,excitatory
200,direction,8,L4,0.61186796,excitatory
201,direction,10,L4,0.7128946,excitatory
202,direction,8,L4,0.60272956,excitatory
203,direction,4,L4,0.3894251,excitatory
204,direction,0,L4,0.48222163,excitatory
205,direction,2,L2/3,0.42371956,excitatory
206,direction,10,L2/3,0.50439006,excitatory
207,direction,14,L2/3,0.37146908,excitatory
208,direction,0,L2/3,0.27088612,excitatory
209,direction,4,L4,0.42688888,excitatory
210,direction,1,L4,0.40357682,excitatory
211,direction,10,L4,0.27096385,excitatory
212,direction,14,L4,0.35394835,excitatory
213,direction,7,L2/3,0.5235225,excitatory
214,direction,9,L4,0.683655,excitatory
215,direction,0,L2/3,0.32682866,excitatory
216,direction,1,L2/3,0.6083212,excitatory
217,direction,8,L2/3,0.5485022,excitatory
218,direction,9,L2/3,0.6809831,excitatory
219,direction,8,L2/3,0.7730858,excitatory
220,direction,10,L4,0.21433936,excitatory
221,direction,1,L2/3,0.87055296,excitatory
222,direction,8,L4,0.3661674,excitatory
223,direction,11,L2/3,0.35461533,excitatory
224,direction,2,L2/3,0.6295306,excitatory
225,direction,3,L2/3,0.18034935,excitatory
226,direction,3,L2/3,0.63768584,excitatory
227,direction,7,L2/3,0.1911047,excitatory
228,direction,9,L2/3,0.28292125,excitatory
229,direction,2,L2/3,0.5761068,excitatory
230,direction,11,L2/3,0.612168,excitatory
231,direction,12,L2/3,0.46684667,excitatory
232,direction,7,L2/3,0.29779023,excitatory
233,direction,8,L4,0.451456,excitatory
234,direction,0,L4,0.49120125,excitatory
235,direction,14,L4,0.65141004,excitatory
236,direction,1,L2/3,0.30676392,excitatory
237,direction,4,L4,0.36360466,excitatory
238,direction,2,L4,0.32065767,excitatory
239,direction,12,L2/3,0.36651307,excitatory
240,direction,9,L2/3,0.34240532,excitatory
241,direction,8,L2/3,0.5744027,excitatory
242,direction,11,L4,0.6134669,excitatory
243,direction,1,L4,0.35440493,excitatory
244,direction,2,L4,0.6251631,excitatory
245,direction,15,L4,0.4081274,excitatory
246,direction,0,L2/3,0.24217251,excitatory
247,direction,15,L2/3,0.2770574,excitatory
248,direction,15,L2/3,0.58566236,excitatory
249,direction,2,L4,0.31643745,excitatory
250,direction,4,L4,0.21130401,excitatory
251,direction,12,L4,0.6829524,excitatory
252,direction,13,L2/3,0.28742635,excitatory
253,direction,2,L2/3,0.83578026,excitatory
254,direction,7,L2/3,0.57960206,excitatory
255,direction,4,L2/3,0.25408685,excitatory
256,direction,11,L2/3,0.19639999,excitatory
257,direction,4,L2/3,0.34169278,excitatory
258,direction,1,L2/3,0.55301297,excitatory
259,direction,9,L4,0.42667,excitatory
260,direction,14,L2/3,0.6607487,excitatory
261,direction,1,L2/3,0.4251507,excitatory
262,direction,3,L2/3,0.3358064,excitatory
263,direction,1,L2/3,0.5253479,excitatory
264,direction,13,L4,0.27817005,excitatory
265,direction,0,L4,0.43228105,excitatory
266,direction,9,L4,0.6660778,excitatory
267,direction,0,L2/3,0.21844551,excitatory
268,direction,15,L4,0.21401343,excitatory
269,direction,8,L2/3,0.3848692,excitatory
270,direction,11,L2/3,0.3027625,excitatory
271,direction,3,L2/3,0.5516981,excitatory
272,direction,2,L2/3,0.25562686,excitatory
273,direction,4,L4,0.3451657,excitatory
274,direction,7,L2/3,0.36981195,excitatory
275,direction,7,L2/3,0.38811657,excitatory
276,direction,15,L2/3,0.52227974,excitatory
277,direction,6,L2/3,0.4503913,excitatory
278,direction,3,L2/3,0.71267045,excitatory
279,direction,8,L2/3,0.5505631,excitatory
280,direction,6,L2/3,0.52035373,excitatory
281,direction,9,L4,0.32072443,excitatory
282,direction,3,L4,0.79555106,excitatory
283,direction,12,L2/3,0.49203676,excitatory
284,direction,8,L2/3,0.6259856,excitatory
285,direction,9,L2/3,0.36657965,excitatory
286,direction,15,L2/3,0.5140665,excitatory
287,direction,5,L2/3,0.382712,excitatory
288,direction,2,L2/3,0.4379676,excitatory
289,direction,3,L2/3,0.72567457,excitatory
290,direction,8,L2/3,0.47007865,excitatory
291,direction,8,L2/3,0.4120042,excitatory
292,direction,3,L2/3,0.7814657,excitatory
293,direction,8,L2/3,0.7864516,excitatory
294,direction,3,L2/3,0.18432482,excitatory
295,direction,6,L2/3,0.5358386,excitatory
296,direction,8,L4,0.76934856,excitatory
297,direction,8,L2/3,0.73592854,excitatory
298,direction,15,L2/3,0.67265964,excitatory
299,direction,6,L2/3,0.3776188,excitatory
300,direction,5,L2/3,0.374603,excitatory
301,direction,10,L2/3,0.51660097,excitatory
302,direction,10,L2/3,0.36980623,excitatory
303,direction,8,L2/3,0.3165418,excitatory
304,direction,12,L2/3,0.54630834,excitatory
305,direction,3,L2/3,0.55018014,excitatory
306,direction,12,L2/3,0.20076595,excitatory
307,direction,9,L2/3,0.46472725,excitatory
308,direction,3,L2/3,0.6189144,excitatory
309,direction,1,L2/3,0.49804428,excitatory
310,direction,3,L2/3,0.27686802,excitatory
311,direction,15,L2/3,0.687758,excitatory
312,direction,8,L2/3,0.76993585,excitatory
313,direction,15,L2/3,0.30348602,excitatory
314,direction,6,L2/3,0.69164115,excitatory
315,direction,7,L2/3,0.3680497,excitatory
316,direction,3,L2/3,0.5038682,excitatory
317,direction,15,L2/3,0.39587003,excitatory
318,direction,0,L2/3,0.7040657,excitatory
319,direction,8,L2/3,0.32698798,excitatory
320,direction,6,L4,0.5659191,excitatory
321,direction,0,L2/3,0.57308245,excitatory
322,direction,0,L2/3,0.46133858,excitatory
323,direction,0,L2/3,0.41931427,excitatory
324,direction,7,L2/3,0.65739137,excitatory
325,direction,12,L2/3,0.5350225,excitatory
326,direction,6,L2/3,0.4420269,excitatory
327,direction,8,L2/3,0.9546807,excitatory
328,direction,8,L2/3,0.6880983,excitatory
329,direction,15,L2/3,0.48475367,excitatory
330,direction,9,L2/3,0.4510983,excitatory
331,direction,6,L2/3,0.36872903,excitatory
332,direction,8,L2/3,0.5212199,excitatory
333,direction,8,L2/3,0.33437204,excitatory
334,direction,10,L4,0.22402732,excitatory
335,direction,8,L4,0.66128993,excitatory
336,direction,6,L4,0.3044924,excitatory
337,direction,8,L4,0.4791892,excitatory
338,direction,8,L2/3,0.39789334,excitatory
339,direction,8,L2/3,0.34131765,excitatory
340,direction,5,L4,0.53167087,excitatory
341,direction,2,L2/3,0.9242064,excitatory
342,direction,8,L4,0.7137741,excitatory
343,direction,9,L4,0.520945,excitatory
344,direction,7,L2/3,0.7408888,excitatory
345,direction,8,L2/3,0.650078,excitatory
346,direction,5,L2/3,0.404706,excitatory
347,direction,8,L2/3,0.45902085,excitatory
348,direction,12,L4,0.28188652,excitatory
349,direction,11,L4,0.44855133,excitatory
350,direction,5,L2/3,0.84431577,excitatory
351,direction,10,L2/3,0.52800405,excitatory
352,direction,7,L2/3,0.62502784,excitatory
353,direction,11,L2/3,0.79330224,excitatory
354,direction,13,L2/3,0.60138863,excitatory
355,direction,8,L4,0.6415024,excitatory
356,direction,15,L4,0.35218623,excitatory
357,direction,11,L4,0.23042955,excitatory
358,direction,2,L2/3,0.50778407,excitatory
359,direction,8,L2/3,0.36752558,excitatory
360,direction,10,L2/3,0.2901481,excitatory
361,direction,7,L2/3,0.610915,excitatory
362,direction,8,L4,0.4149902,excitatory
363,direction,13,L2/3,0.69961005,excitatory
364,direction,4,L4,0.5709202,excitatory
365,direction,6,L2/3,0.39687395,excitatory
366,direction,10,L2/3,0.23662572,excitatory
367,direction,7,L2/3,0.3046647,excitatory
368,direction,11,L2/3,0.32963273,excitatory
369,direction,7,L2/3,0.7524436,excitatory
370,direction,4,L4,0.4426512,excitatory
371,direction,2,L4,0.5450601,excitatory
372,direction,0,L4,0.49593735,excitatory
373,direction,3,L2/3,0.46878272,excitatory
374,direction,12,L2/3,0.4403911,excitatory
375,direction,1,L2/3,0.42769104,excitatory
376,direction,9,L2/3,0.5722503,excitatory
377,direction,14,L2/3,0.5063842,excitatory
378,direction,6,L2/3,0.21749614,excitatory
379,direction,12,L2/3,0.44427866,excitatory
380,direction,8,L2/3,0.5850157,excitatory
381,direction,7,L2/3,0.7346054,excitatory
382,direction,12,L2/3,0.76455986,excitatory
383,direction,7,L2/3,0.36537233,excitatory
384,direction,7,L2/3,0.5502345,excitatory
385,direction,3,L2/3,0.7173752,excitatory
386,direction,9,L2/3,0.39584094,excitatory
387,direction,5,L2/3,0.31287476,excitatory
388,direction,4,L2/3,0.84725916,excitatory
389,direction,8,L2/3,0.2856886,excitatory
390,direction,8,L2/3,0.69309616,excitatory
391,direction,7,L4,0.12476758,excitatory
392,direction,8,L2/3,0.3192341,excitatory
393,direction,8,L2/3,0.5326584,excitatory
394,direction,10,L2/3,0.50339085,excitatory
395,direction,8,L2/3,0.57180667,excitatory
396,direction,9,L2/3,0.52646977,excitatory
397,direction,7,L2/3,0.8136356,excitatory
398,direction,6,L4,0.73470145,excitatory
399,direction,11,L2/3,0.32572982,excitatory
400,direction,3,L2/3,0.41473302,excitatory
401,direction,3,L2/3,0.8643818,excitatory
402,direction,8,L2/3,0.58335155,excitatory
403,direction,8,L2/3,0.812525,excitatory
404,direction,8,L2/3,0.6596744,excitatory
405,direction,8,L2/3,0.41147307,excitatory
406,direction,15,L2/3,0.45687085,excitatory
407,direction,3,L2/3,0.40500468,excitatory
408,direction,8,L2/3,0.39928573,excitatory
409,direction,7,L2/3,0.4600805,excitatory
410,direction,13,L2/3,0.37738433,excitatory
411,direction,8,L2/3,0.54485154,excitatory
412,direction,8,L2/3,0.7158262,excitatory
413,direction,8,L2/3,0.56420887,excitatory
414,direction,8,L2/3,0.32133248,excitatory
415,direction,6,L2/3,0.34565938,excitatory
416,direction,2,L2/3,0.49991885,excitatory
417,direction,2,L2/3,0.41081637,excitatory
418,direction,3,L2/3,0.72132385,excitatory
419,direction,1,L2/3,0.5189435,excitatory
420,direction,13,L2/3,0.45687515,excitatory
421,direction,13,L2/3,0.31528002,excitatory
422,direction,12,L2/3,0.44178465,excitatory
423,direction,3,L2/3,0.32078063,excitatory
424,direction,10,L2/3,0.5229799,excitatory
425,direction,12,L2/3,0.41646835,excitatory
426,direction,8,L2/3,0.5226788,excitatory
427,direction,10,L4,0.36774367,excitatory
428,direction,15,L2/3,0.61713296,excitatory
429,direction,10,L2/3,0.20856531,excitatory
430,direction,13,L4,0.27706265,excitatory
431,direction,8,L2/3,0.55265737,excitatory
432,direction,10,L2/3,0.7151201,excitatory
433,direction,2,L2/3,0.7880352,excitatory
434,direction,8,L2/3,0.51687187,excitatory
435,direction,15,L2/3,0.49877903,excitatory
436,direction,12,L2/3,0.2837176,excitatory
437,direction,8,L4,0.663686,excitatory
438,direction,11,L4,0.34386796,excitatory
439,direction,9,L2/3,0.2875027,excitatory
440,direction,0,L2/3,0.6051096,excitatory
441,direction,9,L2/3,0.16606954,excitatory
442,direction,0,L2/3,0.5748521,excitatory
443,direction,9,L4,0.70669717,excitatory
444,direction,8,L2/3,0.88897246,excitatory
445,direction,9,L2/3,0.33864963,excitatory
446,direction,10,L2/3,0.3844006,excitatory
447,direction,8,L2/3,0.3838043,excitatory
448,direction,9,L2/3,0.37616062,excitatory
449,direction,14,L4,0.33070093,excitatory
450,direction,15,L2/3,0.7659954,excitatory
451,direction,8,L2/3,0.7233377,excitatory
452,direction,9,L2/3,0.33542863,excitatory
453,direction,12,L2/3,0.36556783,excitatory
454,direction,9,L2/3,0.35487938,excitatory
455,direction,6,L4,0.34804454,excitatory
456,direction,9,L4,0.40025,excitatory
457,direction,9,L2/3,0.29192516,excitatory
458,direction,9,L2/3,0.40723634,excitatory
459,direction,1,L4,0.50842446,excitatory
460,direction,15,L4,0.47575957,excitatory
