post_id,pre_id,size,delta_ori
1154,1564,2972,-1
1154,1439,4884,3
1154,2322,39052,-1
1154,311,13760,6
314,2737,10072,4
314,2029,24800,-6
314,2475,11412,2
314,362,1252,2
314,315,3400,1
314,2033,24112,-1
314,1373,8320,-5
314,2498,2920,3
314,2748,2796,1
314,2752,20340,8
690,43,1648,1
690,2497,6308,1
690,675,1996,6
690,178,6564,1
690,44,2864,1
690,1826,1688,-1
690,1377,6736,0
690,2258,1312,8
690,1185,4104,-7
1136,1411,39088,-3
1136,2182,1336,-3
2492,2263,7060,7
2492,1771,7076,8
2492,1745,11212,9
2492,174,54228,3
2492,2213,2000,12
2492,3,4020,5
2492,2522,8608,-1
2492,2748,11932,4
2492,2515,9744,6
2492,224,2416,-1
2492,917,3504,5
2492,397,20764,4
2492,2559,1232,6
2492,836,1968,6
2352,1673,2520,-2
2352,362,240,-6
2352,1982,492,-7
2352,932,1768,-13
2352,2674,6212,-10
2352,1794,624,0
2352,529,34648,0
2352,2559,4988,-5
2352,174,25580,-8
2352,1745,15104,-2
2352,929,13092,-14
2352,1186,3152,-2
2352,163,14940,-7
2352,2007,12956,-14
2352,26,9420,-7
2352,254,11656,-7
2352,197,832,-10
2352,1206,6204,-2
2352,1377,1344,-7
2352,1165,9952,-14
2352,967,25224,-10
2352,2630,6228,-5
2352,67,7424,-10
2352,1930,8492,-13
2352,2082,604,-6
475,25,7204,-7
475,1480,4968,-4
475,1514,28340,-6
475,2278,4760,-13
475,1351,224,-7
475,1844,24300,-14
475,176,6168,-7
475,1344,17336,-7
2175,111,1972,7
2175,946,29312,-3
2175,2819,5584,5
2175,1990,2360,-3
2175,1541,7720,-5
2175,461,5576,-7
2175,160,2948,1
2175,716,4372,-5
2175,680,2192,4
2175,711,7472,0
2175,1071,680,0
2175,2525,256,8
2175,2842,8180,5
2175,2054,5480,-6
2175,1500,3856,1
2175,1942,29360,6
2175,597,2024,-1
2175,1740,2608,3
2175,1977,3608,-6
2175,1887,2808,-2
1393,648,5488,-1
1393,1377,3028,6
1393,2421,3228,5
1393,984,13808,10
1393,624,4120,8
1393,2254,46492,7
1393,2114,1172,2
1393,277,16544,5
1393,968,9392,10
800,2529,5384,1
800,2201,2592,15
800,1439,2904,12
800,1809,24312,10
800,1365,8856,7
800,393,2116,8
800,1715,12496,11
800,1377,3544,7
800,1353,340,14
800,1562,2844,12
800,2047,4748,15
800,2679,4084,7
800,57,4344,8
800,2828,22836,13
800,17,17568,8
800,2337,7380,8
800,624,8860,9
2210,1493,13572,2
2210,1324,8620,-2
2210,2360,7896,-3
2210,1601,2932,-1
2210,569,10000,-8
2210,446,37568,0
669,2447,10508,-10
669,847,548,-8
669,2501,212,-9
669,2784,10532,-7
669,2071,13712,-10
669,638,2392,-1
299,1910,4580,3
299,1377,1860,1
299,821,3652,1
299,675,12088,7
299,1826,4668,0
299,1875,1320,6
299,1410,4148,7
299,1301,3900,7
299,2091,1896,2
299,1864,4260,6
299,1185,4980,-6
299,461,3008,-6
1383,40,8940,10
1383,886,5216,8
1383,776,18108,4
1383,450,3180,11
1383,2643,11288,8
1383,2297,6900,8
1383,393,6312,4
1383,1528,228,7
1383,1004,3664,2
1383,2281,1568,8
1383,1559,17980,11
1383,1104,20724,0
1383,478,3496,5
2022,2028,18724,-9
2022,2054,5668,-12
1103,861,5132,-8
1103,1993,7384,-1
1103,91,4348,1
1103,1455,416,-8
1103,71,15408,-8
1103,319,376,0
1103,219,2152,0
1117,2452,4324,2
1117,1356,508,6
1117,1666,38648,-2
1117,2028,4216,1
2090,1040,2212,1
2090,197,12100,-1
2090,475,7700,11
2090,1014,2700,-3
2090,2748,5128,3
2090,1186,4616,8
2090,2735,1596,4
2090,836,728,5
2090,634,12948,5
2090,1938,4552,2
2090,1261,22512,0
2090,966,236,-3
2090,1836,3648,5
2415,2729,9880,4
2415,93,5036,0
2415,217,9128,0
2415,2123,292,6
2415,1547,3648,5
2415,174,31164,-2
2415,1073,26788,-7
2415,1565,6136,-7
2415,2748,6596,-1
2415,1515,2724,-5
2415,1590,25920,-3
2415,1836,172,1
2415,424,12920,2
2415,1121,416,-6
2415,313,24276,7
2415,1634,7520,0
2415,2102,1672,-6
2415,1206,2912,3
2415,1012,33552,7
2415,294,37976,-5
2415,368,4156,3
2415,1745,62124,4
2415,2281,20132,4
2415,2516,6436,7
2415,538,14528,2
2404,2447,2048,5
2404,592,9344,10
2404,472,7992,8
2404,485,1828,0
2404,2247,8300,6
2404,1674,10016,15
2404,850,2180,12
2404,1812,22784,1
2404,1088,2540,0
2404,1173,15716,0
2404,1013,4248,15
2404,1864,59732,12
2404,192,14340,2
2404,991,37080,9
2404,635,6872,2
2404,1763,3676,1
2404,2409,3256,4
2404,1030,22840,1
2404,529,3436,13
2404,2455,5788,0
2404,1841,2628,5
2404,1647,6168,7
2404,657,272,11
2404,1565,8644,1
2404,313,1628,15
2404,2017,1592,8
2404,353,2572,11
2404,2515,11832,9
2404,2603,1932,15
2094,2745,19788,-5
2094,2142,17400,4
2094,1113,1488,3
2094,2748,35500,2
2094,2480,6472,5
2094,1594,6912,-3
2094,2403,224,-1
2094,63,9164,-3
2094,2101,12724,10
2094,2446,4436,2
2094,1256,3624,2
2094,388,13300,-1
2094,2161,1028,3
2094,1540,5432,-4
2094,374,2636,7
2094,2384,1064,2
2094,1377,5904,2
742,1239,18176,-5
742,2029,7044,-11
742,1868,18372,-11
742,473,4500,-4
1866,52,1572,-4
1866,174,23416,-6
1866,2559,15216,-3
1866,1524,1628,-5
1866,746,3088,-10
1866,1601,21048,-3
1866,424,448,-2
1866,288,3104,-10
1866,2420,9976,-8
1866,1592,2744,-4
535,2546,2360,3
535,815,30916,-3
535,1674,2608,6
535,1108,13588,3
535,1330,224,-2
535,1864,2480,3
535,1684,9412,-6
535,2198,476,2
535,1709,1932,0
224,2559,6432,7
224,2748,13940,5
224,1012,27640,13
224,174,3692,4
224,1634,5216,6
224,402,896,6
224,1073,4536,-1
224,1422,59428,8
224,2305,41444,2
224,2107,51004,9
224,2618,1796,4
224,2351,3420,9
289,529,1836,10
289,1198,12192,4
289,2792,1320,3
289,1894,3040,8
289,693,6176,-2
289,1514,14084,6
289,2271,4276,3
289,1505,25796,5
289,1408,5008,7
289,802,12200,-3
289,2055,584,5
289,174,7008,3
289,739,488,2
192,381,2808,5
192,2095,5452,0
192,2409,23688,2
192,2854,23176,2
192,526,2364,3
192,2159,2460,2
192,592,392,8
192,743,10816,0
192,594,12408,4
192,2309,472,13
192,641,5832,9
192,2295,2744,8
192,2515,716,7
192,1864,32196,10
192,2447,4944,3
192,113,708,6
192,1868,15860,-2
192,1769,33612,-1
192,2404,2636,-2
192,2449,10800,3
192,2247,16212,4
192,472,3004,6
192,1484,9344,10
1273,227,896,5
1273,123,4528,13
1273,857,5652,5
1273,64,3108,6
1273,2348,13836,12
1273,2539,1896,9
1273,1889,21640,6
1273,2561,2664,-1
1273,1259,5176,4
1273,1246,20016,6
1273,2159,688,2
1273,1173,16736,-2
1273,1543,4096,2
1273,1377,16056,5
1273,1995,1844,11
1273,875,22872,1
1273,2399,22388,10
1273,1878,4584,1
1273,2648,12004,-2
1273,2419,18696,11
1273,2096,1272,6
1273,2310,3256,6
1273,2343,476,2
1273,466,11984,7
1273,1088,22076,-2
1273,363,14336,11
1273,1784,7308,12
1273,936,7052,7
1273,2809,15448,13
1273,38,612,-2
1273,1256,2732,5
1273,1637,4120,13
1417,2305,41104,-9
1417,1614,32092,-5
1417,1967,2244,-6
1417,1909,10780,-1
1417,224,38324,-11
1417,2592,5220,-10
1417,2729,59100,-1
1417,1836,177520,-4
1417,2121,3328,-3
1417,2559,23172,-4
1417,1848,27400,-5
1417,2856,5136,2
1417,1921,13192,-1
1417,1210,23700,-5
1417,1745,30348,-1
1417,2722,4752,-11
1417,2706,5528,0
1417,2469,25772,0
1417,1482,3968,-13
1417,2515,107656,-4
1417,2748,101896,-6
1417,2516,66372,2
1417,174,110696,-7
1417,2123,34716,0
1417,1216,4984,-11
1417,1547,41712,0
1417,2357,37964,-4
1417,2522,3052,-11
1417,2508,19720,2
1417,1138,81684,-1
1417,1636,4688,-8
1417,328,29852,-5
1417,2281,33360,-1
1417,769,1000,-4
1417,2038,13244,-9
1417,913,3348,-11
1417,743,11400,-11
1417,2260,18976,2
1417,2753,2728,-8
1417,664,4844,-6
1417,2375,9960,0
1417,2505,13732,2
1417,834,18152,-13
1417,960,792,-3
1417,1847,2956,-1
1417,147,7032,-5
1417,3,6176,-5
1417,1481,6652,0
1417,1219,16472,-1
1417,1466,428,-4
1417,74,14240,-5
1417,2273,3264,-6
1417,2506,27520,-7
1417,2236,3944,-9
1417,2365,1188,-9
1417,2482,12252,-11
1417,294,4900,-10
1417,1634,36888,-5
1417,2475,4032,-5
1417,402,29668,-5
1417,2134,2588,0
1417,93,6104,-5
1417,1606,3592,-4
1417,48,2080,-5
1417,537,1312,-1
1417,1794,8520,0
1417,1012,15400,2
1417,1222,19296,-4
1761,960,7828,3
1761,2750,4948,2
1761,369,17968,0
1761,174,96612,-1
1761,2559,3524,2
1761,1484,15116,5
1761,1073,2740,-6
1761,1745,52864,5
1761,743,7924,-5
1761,397,3736,0
1761,1359,7764,-2
1761,2573,22820,-6
1761,1878,1832,-4
1761,1634,888,1
1761,2748,89792,0
1761,364,1292,-3
1761,2343,9928,-3
1761,484,5252,-5
1761,746,4536,-5
654,1682,7072,0
654,2792,584,4
654,2693,6912,1
654,1346,3980,3
654,2748,5864,5
654,195,1088,6
654,1278,620,0
654,1634,3632,6
654,2475,23820,6
654,2263,3804,8
654,1222,34616,7
654,529,26360,11
654,174,56836,4
654,424,58776,8
654,1373,5248,-1
654,836,28108,7
484,2375,224,11
484,2348,9384,12
484,2747,28120,7
484,368,4424,9
484,263,4240,-1
484,174,3796,4
484,472,19452,6
484,1417,892,11
484,661,4948,10
484,1216,2704,0
484,1012,2372,13
484,2165,952,1
484,2516,4472,13
484,746,14852,0
484,1745,5872,10
484,2123,3160,12
484,2592,2756,1
38,2343,7912,4
38,2670,11248,2
38,2502,10848,3
38,1377,6008,7
38,598,11844,12
38,1173,8312,0
38,606,18400,15
38,1274,2228,0
38,2204,13636,12
38,1684,8648,3
375,2707,3604,10
375,2013,1624,12
375,1353,15592,13
375,2695,19404,10
375,1751,13688,8
375,558,1968,10
375,1141,7924,10
216,1610,20804,0
216,1634,1588,7
216,2748,10668,6
216,83,396,8
216,1869,4732,10
1290,327,2680,3
1290,2630,8508,4
1290,495,856,5
1290,2063,7640,3
1290,2745,9424,-5
1290,2150,992,-5
1290,46,400,-3
1290,2654,476,3
1290,125,5608,4
1290,2101,12484,10
1290,932,1056,-4
1290,670,17720,0
1290,1256,1432,2
1290,376,2768,4
1290,2748,17772,2
1290,1014,10776,-4
2498,174,107316,-3
2498,82,4552,-2
2498,263,1584,-8
2498,1745,2452,3
2498,424,14352,1
2498,209,13464,-5
1079,875,13560,-6
1079,2360,1908,-2
1079,357,10488,2
1079,2519,1456,-6
1079,1324,4296,-1
1079,2750,27500,0
1079,2751,1764,-9
1079,327,2592,-1
1079,1322,18872,-2
1079,435,6192,6
1079,1242,15764,6
1079,503,2944,6
1079,1638,3084,3
1079,1136,2036,2
2093,2559,6416,0
2093,2319,13816,3
2093,1950,6356,-5
2093,1639,12092,-5
2093,2748,50108,-2
2093,2305,1780,-5
2093,313,13648,6
2093,397,4924,-2
2093,174,7728,-3
2093,1346,26476,-4
2093,1836,7184,0
2093,2506,17724,-3
2093,1504,16276,0
2093,2630,4340,0
2093,1745,4192,3
2093,1708,4304,-4
1014,802,16352,-1
1014,1414,4868,8
1014,1997,568,0
1014,877,244,10
1014,1152,172,3
1014,236,596,0
1014,1773,16440,3
1014,2673,2992,10
1014,1289,1644,1
1014,2748,5352,6
1014,1303,4972,10
1014,207,6404,13
1014,2028,16396,3
1014,2036,2576,4
1014,2563,1796,14
1014,1339,1500,8
1014,1950,2684,3
12,2447,15692,-7
12,2247,4024,-6
12,875,25180,-9
12,1326,9556,-4
12,1884,21672,-8
12,521,3856,-10
12,174,26944,-6
12,1613,3688,1
12,514,2356,-12
12,1745,2772,0
12,2748,10844,-5
12,373,31280,-9
12,2510,976,-2
12,2644,3132,-3
229,2630,5208,7
229,2506,12660,4
229,749,208,3
229,976,13596,12
229,51,232,2
229,456,5040,7
229,2367,25020,-2
229,2384,8344,5
