id,theta,rate
59,6,1.6113144
59,7,5.545453
59,8,3.6575615
59,9,3.424991
59,10,1.8067353
59,11,1.7656915
59,12,2.2057667
59,13,1.125712
59,14,0.9768475
59,15,2.700792
60,0,3.4384499
60,1,1.6514914
60,2,1.180242
60,3,0.33077028
60,4,0.35892147
60,5,0.6818997
60,6,3.1666512
60,7,4.812948
60,8,3.9841027
60,9,2.677238
60,10,1.351888
60,11,1.917188
60,12,0.28783417
60,13,0.17772037
60,14,0.9652241
60,15,1.9205637
61,0,1.5419323
61,1,3.0616174
61,2,3.0837522
61,3,1.0473946
61,4,0.42111698
61,5,0.3668507
61,6,0.3248666
61,7,1.2789178
61,8,1.5696721
61,9,2.5025268
61,10,0.91538525
61,11,0.44207248
61,12,0.67268735
61,13,0.81193674
61,14,0.9793186
61,15,0.9596469
62,0,2.2324638
62,1,1.3360605
62,2,1.8784587
62,3,1.2416617
62,4,1.0580353
62,5,1.2085289
62,6,3.7931666
62,7,7.8715897
62,8,7.1309304
62,9,9.736592
62,10,3.1489804
62,11,4.1528378
62,12,2.2202039
62,13,2.6453729
62,14,3.3681533
62,15,4.497966
63,0,0.7937401
63,1,1.820492
63,2,3.0947404
63,3,0.63093597
63,4,0.60016984
63,5,0.5139827
63,6,0.5345158
63,7,0.99367344
63,8,0.82766455
63,9,0.62795144
63,10,0.9412977
63,11,0.6829497
63,12,0.8935703
63,13,0.7905636
63,14,0.45979413
63,15,0.8814812
64,0,4.7742186
64,1,4.836993
64,2,3.0972512
64,3,1.1926484
64,4,1.4776961
64,5,0.8247817
64,6,1.3417796
64,7,5.076715
64,8,5.9357777
64,9,5.6616955
64,10,4.0023527
64,11,2.915358
64,12,1.9402297
64,13,1.1756968
64,14,1.6264756
64,15,2.3841295
65,0,1.2973555
65,1,1.0837995
65,2,0.7728482
65,3,1.0130231
65,4,0.8648489
65,5,2.036806
65,6,2.0144448
65,7,3.2311854
65,8,3.721309
65,9,2.6921008
65,10,1.3035699
65,11,0.52586806
65,12,0.6212258
65,13,0.8253725
65,14,2.1167245
65,15,2.0591927
66,0,0.6012805
66,1,1.1629778
66,2,1.3089322
66,3,1.0420315
66,4,0.23969004
66,5,0.7905046
66,6,0.67797923
66,7,2.330285
66,8,2.615668
66,9,4.4428916
66,10,2.1944041
66,11,1.0661372
66,12,0.4827478
66,13,0.16117804
66,14,0.60606635
66,15,0.71231604
67,0,0.43584967
67,1,0.36659747
67,2,2.0014238
67,3,2.4978535
67,4,2.3029637
67,5,0.9894768
67,6,0.56636226
67,7,0.60703546
67,8,0.29623154
67,9,0.36769497
67,10,0.6957258
67,11,1.0865262
67,12,0.7492345
67,13,0.52985036
67,14,0.34484237
67,15,0.31206918
68,0,0.6716921
68,1,0.80950034
68,2,0.63593066
68,3,0.3975819
68,4,0.35792023
68,5,0.19560272
68,6,0.36824557
68,7,0.49451622
68,8,0.970805
68,9,1.9249111
68,10,0.5949643
68,11,0.54642236
68,12,0.30387715
68,13,0.23831801
68,14,0.25645941
68,15,0.43700528
69,0,3.027479
69,1,2.7646794
69,2,0.9584327
69,3,3.0063763
69,4,3.0461173
69,5,1.2086513
69,6,0.6119734
69,7,2.0200963
69,8,2.0996184
69,9,1.3596375
69,10,1.3276504
69,11,1.3947421
69,12,1.2089279
69,13,0.49012214
69,14,0.44662333
69,15,1.2489812
70,0,13.28876
70,1,6.733027
70,2,3.2932858
70,3,0.25902367
70,4,0.28190857
70,5,0.5277472
70,6,1.8191541
70,7,3.7884593
70,8,2.4622455
70,9,1.5183089
70,10,1.9643589
70,11,0.7983626
70,12,1.0553879
70,13,0.89981115
70,14,1.6047226
70,15,9.673702
71,0,5.6981635
71,1,3.4910998
71,2,0.8142649
71,3,0.70571387
71,4,0.85924065
71,5,0.5023831
71,6,0.6442982
71,7,2.8940933
71,8,1.3327343
71,9,1.84284
71,10,0.36402145
71,11,0.459656
71,12,0.38502043
71,13,0.11148429
71,14,1.8257958
71,15,3.9249542
72,0,0.6170193
72,1,0.5924672
72,2,1.0767007
72,3,0.8860032
72,4,0.8713101
72,5,0.8071898
72,6,0.5154751
72,7,0.72234666
72,8,0.9910716
72,9,1.2462604
72,10,1.7721932
72,11,1.3912208
72,12,0.76012707
72,13,0.7626568
72,14,0.4970192
72,15,0.38002387
73,0,0.30473256
73,1,0.643927
73,2,0.85129195
73,3,0.5385688
73,4,1.239223
73,5,0.2783385
73,6,0.3709031
73,7,0.34867972
73,8,0.46625853
73,9,0.57707006
73,10,0.96341723
73,11,0.55463344
73,12,0.6365465
73,13,0.542939
73,14,0.3288713
73,15,0.29321066
74,0,0.9964507
74,1,0.9527529
74,2,1.553822
74,3,1.4065771
74,4,1.0504215
74,5,1.3029246
74,6,1.2432816
74,7,2.8866842
74,8,4.5767117
74,9,1.6978308
74,10,1.0724353
74,11,1.8337193
74,12,0.90988
74,13,0.344913
74,14,1.2694862
74,15,1.0546585
75,0,0.4988293
75,1,1.5150323
75,2,1.1886569
75,3,2.8566537
75,4,2.239986
75,5,2.0267155
75,6,1.3984668
75,7,0.60932916
75,8,0.72730774
75,9,1.1365583
75,10,1.1212054
75,11,1.1399379
75,12,1.4536878
75,13,1.3962622
75,14,1.7682575
75,15,0.44124508
76,0,2.1633055
76,1,2.8983364
76,2,1.3621476
76,3,0.493712
76,4,0.60904753
76,5,0.3702231
76,6,1.2758318
76,7,2.0069067
76,8,1.1056346
76,9,0.7897743
76,10,0.514739
76,11,0.7942115
76,12,0.31312713
76,13,0.6163881
76,14,1.1180508
76,15,1.981756
77,0,1.535454
77,1,0.94237757
77,2,0.8572324
77,3,0.30573517
77,4,0.2884548
77,5,0.21665223
77,6,0.23373954
77,7,0.5604494
77,8,0.39118066
77,9,0.5508402
77,10,0.35895085
