neuron_id,angle_shown,rate,rate_error
864691135763941174,1,3.9998786,0.41695741
864691135763941174,2,1.50724081,0.16952878
864691135763941174,3,1.95336164,0.18478236
864691135763941174,4,1.33264324,0.15154589
864691135763941174,5,6.88697666,0.84950772
864691135763941174,6,7.25301275,0.6801997
864691135763941174,7,13.76974685,1.19176243
864691136488446226,0,14.14558003,0.91380504
864691136488446226,1,7.02417811,0.62466087
864691136488446226,2,5.2093405,0.8356794
864691136488446226,3,1.794198,0.36428631
864691136488446226,4,1.56481234,0.20510526
864691136488446226,5,2.76089857,0.29947266
864691136488446226,6,6.75746784,0.45679996
864691136488446226,7,14.71358168,1.04590417
864691135772608763,0,5.43734393,0.39476768
864691135772608763,1,4.19709508,0.31217461
864691135772608763,2,2.54136431,0.22841468
864691135772608763,3,4.52707244,0.30478901
864691135772608763,4,4.213901,0.32449047
864691135772608763,5,4.91765009,0.43498872
864691135772608763,6,4.67840977,0.35013014
864691135772608763,7,8.86674927,0.62027171
864691135564542999,0,3.00686972,0.19528057
864691135564542999,1,3.20786367,0.22442429
864691135564542999,2,2.63678768,0.16943402
864691135564542999,3,2.95729077,0.18230672
864691135564542999,4,1.95644793,0.15442842
864691135564542999,5,1.38269955,0.102884
864691135564542999,6,2.9233129,0.20176804
864691135564542999,7,2.60205297,0.20584197
864691136619283085,0,16.33657268,1.6841598
864691136619283085,1,16.63618825,1.59078475
864691136619283085,2,20.91252382,1.82900567
864691136619283085,3,16.94410059,1.71094433
864691136619283085,4,13.38817616,1.50852606
864691136619283085,5,15.43160787,1.51527842
864691136619283085,6,8.91953858,0.81855601
864691136619283085,7,17.88635805,1.42685935
864691135976528451,0,3.52715111,0.40443107
864691135976528451,1,3.84985106,0.43343397
864691135976528451,2,7.08227462,0.691902
864691135976528451,3,8.29575382,0.70682954
864691135976528451,4,19.50696457,1.31168496
864691135976528451,5,3.08644013,0.35752947
864691135976528451,6,4.47683944,0.55352495
864691135976528451,7,2.28540809,0.28559827
864691135992753857,0,5.91174913,0.59891778
864691135992753857,1,4.50405466,0.52393251
864691135992753857,2,4.94580491,0.53694384
864691135992753857,3,3.39662838,0.3848385
864691135992753857,4,3.3256079,0.29573869
864691135992753857,5,4.83879019,0.43427217
864691135992753857,6,7.59176764,0.76801581
864691135992753857,7,9.84619058,0.83432696
864691135469942098,0,7.4482458,0.41089601
864691135469942098,1,7.04913095,0.36323965
