pre_pt_root_id,post_pt_root_id,syn_volume
864691135155894884,864691136274974477,5456
864691135155894884,864691136926869834,5740
864691135157198692,864691135386704513,2348
864691135157198692,864691135561071585,1748
864691135157198692,864691135782029136,1244
864691135157198692,864691135910575529,12376
864691135157210468,864691135119056861,3152
864691135157210468,864691135561071585,6804
864691135157210468,864691136011790755,19512
864691135162585389,864691135867411478,6816
864691135164057645,864691135356428751,2832
864691135164057645,864691135919801008,1292
864691135183251970,864691135941226150,13680
864691135183251970,864691136110743992,2728
864691135183251970,864691136239352636,5200
864691135183251970,864691136274974477,2280
864691135183426562,864691134940354403,1648
864691135183426562,864691135100665376,2940
864691135183426562,864691135571742445,2904
864691135183426562,864691135737755524,3280
864691135183426562,864691136618416013,2716
864691135183426562,864691136673469831,7392
864691135183454978,864691135273289489,18252
864691135183454978,864691135572092965,23136
864691135183454978,864691135716315930,14376
864691135183454978,864691135890472073,468
864691135183454978,864691136011790755,5840
864691135183454978,864691136106318041,1996
864691135183454978,864691136238372412,49148
864691135195769130,864691135989890952,4460
864691135195825450,864691136040876030,3492
864691135195880234,864691135938727989,10180
864691135195880234,864691136110743992,220
864691135209194617,864691135293329590,30376
864691135209194617,864691135772435195,15852
864691135209280633,864691135375528009,9476
864691135209280633,864691135404851182,28448
864691135209280633,864691135498488851,488
864691135209280633,864691135572092965,7808
864691135209280633,864691135688277216,12880
864691135209280633,864691135700146978,408
864691135209280633,864691135741524587,2920
864691135209280633,864691135762818102,5704
864691135209280633,864691135841835235,9028
864691135209280633,864691136488439570,6788
864691135209369465,864691135234402137,5160
864691135209369465,864691135942611316,23492
864691135209369465,864691135954210312,19660
864691135209369465,864691136143357748,1624
864691135209432185,864691136032511419,3384
864691135211568576,864691135356428751,8828
864691135214356280,864691135356428751,6556
864691135234382937,864691135273289489,5584
864691135234382937,864691135492341599,6020
864691135234382937,864691135849033822,12896
864691135234382937,864691135919801008,18632
864691135234382937,864691135947457121,5832
864691135234387801,864691135430270512,4216
864691135234387801,864691135489569594,2392
864691135234387801,864691135585662584,2464
864691135234387801,864691135594774315,57788
864691135234387801,864691135867411478,5652
864691135234387801,864691135941226150,1172
864691135234387801,864691136110743992,3656
864691135234387801,864691136195409622,50208
864691135234639705,864691135163754797,13724
864691135234639705,864691135234402137,36468
864691135234639705,864691135446432146,4872
864691135234639705,864691135942345588,10452
864691135234639705,864691136391392127,6556
864691135234639705,864691136577696532,2228
864691135234639705,864691136911633137,8780
864691135234639705,864691137055089014,57372
864691135257638831,864691135334857449,1896
864691135257638831,864691135356428751,16756
864691135257638831,864691135469684306,2668
864691135257638831,864691135510422224,8024
864691135257638831,864691135594774315,13760
864691135257638831,864691135772466939,3816
864691135257638831,864691135867411478,36820
864691135257638831,864691135942611316,2400
864691135257638831,864691136110743992,17972
864691135257638831,864691136196160844,34268
864691135257638831,864691136274974477,3788
864691135257638831,864691136990712213,24764
864691135257669039,864691135119056861,940
864691135257669039,864691135441386568,14160
864691135257669039,864691135441799752,1128
864691135257669039,864691135498488851,10420
864691135257669039,864691135867411478,6880
864691135257669039,864691135919801008,4636
864691135257669039,864691135941226150,1580
864691135257817263,864691135356428751,4724
864691135257817263,864691135441267528,2176
864691135257817263,864691135464975685,856
864691135257817263,864691135468538962,2052
864691135257817263,864691135472814130,1644
864691135257817263,864691135571742445,3796
864691135257817263,864691136033456571,4296
864691135257817263,864691136109463736,10368
864691135257817263,864691136228870481,24032
864691135270780837,864691135257086127,1240
864691135270780837,864691135293980172,1060
864691135270780837,864691135619377039,284
864691135270780837,864691135782029136,1872
864691135270780837,864691135865700572,932
864691135270780837,864691136578410004,300
864691135271038885,864691135014479766,4716
864691135271038885,864691135356428751,19804
864691135271038885,864691135472814130,18644
864691135271038885,864691135867411478,7464
864691135271038885,864691136116802724,3184
864691135271038885,864691136196160844,10020
864691135271077541,864691136144547892,7884
864691135271081125,864691134948665340,1964
864691135271081125,864691135387810177,22940
864691135271081125,864691136451925247,2276
864691135271081125,864691136595446690,36964
864691135271081125,864691136740814940,16076
864691135271282085,864691136228080209,2380
864691135271343525,864691135273289489,1876
864691135271343525,864691135749449513,2244
864691135271343525,864691137198198593,244
