pt_root_id,cell_type,tuning_type,layer,position_original,axon_proof,dendr_proof,pref_ori,osi
864691136423581231,exc,direction,L4,[217168 160736  22196],non,non,9.0,0.28193244
864691135491703015,exc,direction,L4,[206384 152736  17271],non,non,13.0,0.45828348
864691135685251511,exc,direction,L4,[219920 161472  16199],non,non,15.0,0.49527332
864691135685297591,exc,direction,L4,[182896 163856  17637],non,non,2.0,0.42595178
864691136389509648,exc,direction,L4,[135696 176544  16018],non,non,14.0,0.41272599
864691135502763613,exc,direction,L4,[226208 151664  15467],non,non,13.0,0.22261982
864691136389641488,exc,direction,L4,[187888 175376  17059],non,non,8.0,0.118930526
864691135688093920,exc,direction,L4,[192576 164976  20306],clean,clean,7.0,0.3898273
864691136237715516,exc,direction,L4,[150192 179472  23829],non,non,12.0,0.53483814
864691135502257986,exc,direction,L4,[204352 168864  19281],non,non,8.0,0.29274225
864691135693620927,exc,direction,L4,[234416 152336  20908],non,non,0.0,0.5930405
864691135698220565,exc,direction,L4,[230528 152336  17190],non,non,9.0,0.23509786
864691135498581011,exc,direction,L4,[194144 153744  22165],non,non,12.0,0.3751723
864691135699496482,exc,direction,L4,[197664 158128  24257],non,non,12.0,0.53203875
864691135700562466,exc,direction,L4,[171456 171424  21043],clean,clean,1.0,0.35440493
864691135497940243,exc,direction,L4,[126448 172112  22108],non,non,14.0,0.56785965
864691135700566562,exc,direction,L4,[189648 164224  23993],non,non,9.0,0.40025
864691135495499152,exc,direction,L4,[179392 156288  24354],non,non,7.0,0.30031988
864691135700902779,exc,direction,L4,[216704 173312  19127],non,non,8.0,0.26774037
864691135700926075,exc,direction,L4,[246688 154464  16966],non,non,9.0,0.6244405
864691135700945275,exc,direction,L4,[230944 158816  24446],non,non,14.0,0.39381897
864691135495339664,exc,direction,L4,[253456 154528  22706],non,non,9.0,0.4870963
864691135495175824,exc,direction,L4,[245248 154576  18275],non,non,9.0,0.43220454
864691135495170448,exc,direction,L4,[194864 167632  25990],non,non,0.0,0.52268887
864691136423260719,exc,direction,L4,[260208 148320  20726],non,non,11.0,0.63905424
864691136423398447,exc,direction,L4,[195648 167760  18669],non,non,8.0,0.25603238
864691135494939536,exc,direction,L4,[191328 167936  18185],non,non,15.0,0.5466862
864691135701270139,exc,direction,L4,[180528 156960  25640],non,non,8.0,0.0338265
864691135701382267,exc,direction,L4,[144368 160544  16335],non,non,7.0,0.2982849
864691136723524349,exc,direction,L4,[197232 160192  25453],non,non,12.0,0.42075148
864691135866164357,exc,direction,L4,[212384 168048  24233],non,non,5.0,0.49035373
864691136662987230,exc,direction,L4,[221664 169712  19250],non,non,2.0,0.5637529
864691135135658777,exc,direction,L4,[143136 165696  18256],non,non,12.0,0.30655175
864691135182910466,exc,direction,L4,[182864 167472  24026],non,non,14.0,0.31916985
864691136923565540,exc,direction,L4,[211616 171040  19020],non,non,8.0,0.0884416
864691136923776996,exc,direction,L4,[179696 161136  17844],non,non,4.0,0.67932284
864691135940582566,exc,direction,L4,[143040 162800  20739],non,non,12.0,0.30388704
864691135156855396,exc,direction,L4,[158736 171232  18945],non,non,4.0,0.36360466
864691135942023284,exc,direction,L4,[193024 165344  22801],non,non,15.0,0.39202195
864691135945999652,exc,direction,L4,[211456 167840  18879],non,non,14.0,0.5358102
864691135135200281,exc,direction,L4,[161904 168048  24326],non,non,8.0,0.42941934
864691136085109612,exc,direction,L4,[200608 153552  15380],non,non,8.0,0.15915225
864691135133588640,exc,direction,L4,[169024 161376  26278],non,non,4.0,0.5709202
864691135123457063,exc,direction,L4,[185216 155696  23508],non,non,9.0,0.72773397
864691135123115047,exc,direction,L4,[218144 173504  20944],non,non,8.0,0.060971398
864691135122307879,exc,direction,L4,[213232 173984  26535],non,non,10.0,0.21433936
864691135118443229,exc,direction,L4,[220592 153952  17570],non,non,11.0,0.3815292
864691135114094233,exc,direction,L4,[130720 161280  23206],non,non,12.0,0.5899621
864691135105049933,exc,direction,L4,[135024 160560  20234],non,non,14.0,0.45477307
864691135100867104,exc,direction,L4,[173360 156224  16111],non,non,15.0,0.48365894
864691135100838432,exc,direction,L4,[240240 163360  20694],non,non,7.0,0.41750094
864691135133162656,exc,direction,L4,[179680 161088  25541],non,non,12.0,0.64708334
864691136057217752,exc,direction,L4,[167632 169040  17674],non,non,3.0,0.5783899
864691135940289025,exc,direction,L4,[202880 157312  25632],non,non,9.0,0.3012402
864691135937506820,exc,direction,L4,[260032 149984  22712],non,non,10.0,0.38436273
864691135915647078,exc,direction,L4,[244864 161680  20194],non,non,2.0,0.26621532
864691135916062822,exc,direction,L4,[157376 167040  26089],non,non,7.0,0.37446642
864691135918884272,exc,direction,L4,[179328 167392  17927],non,non,15.0,0.39759383
864691135919101872,exc,direction,L4,[253920 154096  23186],non,non,9.0,0.43177426
864691136912172017,exc,direction,L4,[197984 174784  16967],extended,extended,9.0,0.32072443
864691135919400880,exc,direction,L4,[237856 154304  21678],non,non,5.0,0.41127765
864691136912176113,exc,direction,L4,[231296 151408  17487],non,non,9.0,0.62109876
864691135919514800,exc,direction,L4,[150816 162640  22772],non,non,14.0,0.34504697
