neuron_id,angle_shown,rate
864691135987778952,9,0.9437801
864691135987778952,10,1.4190755
864691135987778952,11,0.68856066
864691135987778952,12,1.2536819
864691135987778952,13,1.8647903
864691135987778952,14,2.1746821
864691135987778952,15,2.0883613
864691135307080518,0,3.0595884
864691135307080518,1,2.747727
864691135307080518,2,1.7034619
864691135307080518,3,2.9234493
864691135307080518,4,2.7449346
864691135307080518,5,1.4535005
864691135307080518,6,1.7587191
864691135307080518,7,1.3596965
864691135307080518,8,2.6409311
864691135307080518,9,2.8956819
864691135307080518,10,3.050678
864691135307080518,11,2.5249867
864691135307080518,12,3.4490714
864691135307080518,13,2.2606437
864691135307080518,14,3.2185874
864691135307080518,15,4.403228
864691135987764739,0,1.5363922
864691135987764739,1,1.7476523
864691135987764739,2,0.92861634
864691135987764739,3,1.690081
864691135987764739,4,1.2694334
864691135987764739,5,1.3435531
864691135987764739,6,1.7767996
864691135987764739,7,2.217548
864691135987764739,8,1.1124805
864691135987764739,9,1.1511652
864691135987764739,10,1.6532555
864691135987764739,11,1.2626269
864691135987764739,12,1.6001867
864691135987764739,13,1.8198462
864691135987764739,14,1.2361505
864691135987764739,15,1.7869447
864691135294059276,0,0.24630693
864691135294059276,1,0.65585995
864691135294059276,2,0.7252657
864691135294059276,3,0.28978336
864691135294059276,4,0.21348052
864691135294059276,5,0.3094114
864691135294059276,6,0.17902733
864691135294059276,7,0.4757424
864691135294059276,8,0.27633458
864691135294059276,9,0.48593187
864691135294059276,10,0.49422988
864691135294059276,11,0.6112254
864691135294059276,12,0.293154
864691135294059276,13,0.3032294
864691135294059276,14,0.5459675
864691135294059276,15,0.2568007
864691135304112039,0,1.6180474
864691135304112039,1,2.0754967
864691135304112039,2,1.7761475
864691135304112039,3,2.0291243
864691135304112039,4,1.8824198
864691135304112039,5,2.1607964
864691135304112039,6,0.979674
864691135304112039,7,1.7784507
864691135304112039,8,0.9914007
864691135304112039,9,1.2276423
864691135304112039,10,1.8339617
864691135304112039,11,1.8250297
864691135304112039,12,0.7255926
864691135304112039,13,1.4740375
864691135304112039,14,1.3824875
864691135304112039,15,1.389755
864691135987941635,0,0.43700632
864691135987941635,1,0.33167058
864691135987941635,2,0.7850223
864691135987941635,3,0.17658675
864691135987941635,4,0.39832133
864691135987941635,5,0.38832015
864691135987941635,6,0.5691452
864691135987941635,7,0.6133231
864691135987941635,8,0.4145794
864691135987941635,9,0.032344773
864691135987941635,10,0.35905042
864691135987941635,11,0.15854941
864691135987941635,12,0.377006
864691135987941635,13,0.30958802
864691135987941635,14,0.21435246
864691135987941635,15,0.7660433
864691135988130819,0,3.1554332
864691135988130819,1,4.787554
864691135988130819,2,4.8653955
864691135988130819,3,5.576835
864691135988130819,4,10.107991
864691135988130819,5,8.61827
864691135988130819,6,4.786616
864691135988130819,7,2.6612306
864691135988130819,8,1.2932311
864691135988130819,9,1.6894728
864691135988130819,10,2.6082664
864691135988130819,11,5.5419874
864691135988130819,12,4.059883
864691135988130819,13,6.627069
864691135988130819,14,7.111627
864691135988130819,15,5.2919717
864691135988127747,0,0.33554333
864691135988127747,1,0.4929003
864691135988127747,2,1.439688
864691135988127747,3,0.8957078
864691135988127747,4,1.277221
864691135988127747,5,0.8510591
864691135988127747,6,0.9546361
