pt_root_id,nucleus_id,cell_type,tuning_type,layer,axon_proof,dendr_proof,pref_ori,pial_dist_x,pial_dist_y,pial_dist_z
864691135864841598,420346,exc,not_matched,L23,non,non,0,999.425527960343,113.23900363250024,736.1600000000001
864691135544425512,293450,exc,not_matched,L23,non,non,0,736.4455321903005,113.55197773433314,1061.3600000000004
864691135701095547,189036,exc,not_matched,L23,non,non,0,502.5813142782082,98.29531190049346,923.2800000000002
864691135737064068,357165,exc,not_matched,L23,non,non,0,833.937570752792,90.40890237841563,604.4800000000001
864691136757349998,193870,exc,not_matched,L4,non,non,0,484.7126276212196,296.66079378974337,639.8800000000001
864691136924518628,258053,exc,not_matched,L23,non,non,0,657.7631815441521,203.67731313341258,768.6000000000001
864691135492371551,364834,exc,selective,L4,non,non,4,838.8832927678119,357.71312371760473,674.8800000000001
864691135874460558,457290,exc,not_selective,L4,non,non,6,1018.6700087618409,291.27374659768884,750.9600000000002
864691135975241327,332882,exc,not_matched,L4,non,non,0,727.342665277366,321.87132863089624,817.4000000000002
864691135926572046,157459,exc,not_matched,L4,non,non,0,439.5600477528916,270.09640162213935,891.7600000000002
864691135800570722,327354,exc,not_matched,L23,non,non,0,737.1017096473203,209.59062340962834,634.7200000000001
864691135209995200,329002,exc,not_matched,L23,non,non,0,740.2794461874964,234.2172933120173,1073.0800000000002
864691136065280664,225409,exc,not_matched,L4,non,non,0,557.3692704865892,283.4871076110716,674.7200000000001
864691135375153225,229053,exc,not_matched,L4,non,non,0,531.7118038532994,327.81961060787546,1100.9600000000003
864691136673582727,420718,exc,not_selective,L23,non,non,1,969.2924211281594,91.97180220306409,880.6000000000003
864691136266425588,330816,exc,not_matched,L4,non,non,0,770.7211331855978,269.58103085076766,948.8800000000002
864691136389311351,331765,exc,not_matched,L4,non,non,0,740.1204600523133,341.0419367769445,637.0400000000001
864691136135414411,360702,exc,selective,L23,non,non,2,827.2532872239537,212.3383068783398,665.3600000000001
864691135561274849,453655,exc,not_selective,L23,non,non,3,1043.2800020567554,151.703542076723,725.3200000000002
864691136602784209,364879,exc,not_matched,L4,non,non,0,802.2016228742298,337.8645758155975,693.6400000000001
864691135661437424,363737,exc,not_matched,L4,non,non,0,818.5439410177831,263.4216247880161,904.9600000000003
864691136617998299,455397,exc,selective,L23,non,non,7,1051.2844438193213,207.07588362076186,734.4000000000001
864691136487845394,116578,exc,not_matched,L4,non,non,0,336.16599914057696,314.4377487324188,802.8400000000003
864691135926565390,392425,exc,not_matched,L23,non,non,0,865.7615826070507,232.6036416815981,752.5200000000001
864691135194411050,425686,exc,not_matched,L4,non,non,0,927.5357551012976,285.8060668580036,754.0400000000001
864691135133502880,428334,exc,not_selective,L4,non,non,7,974.1772767228683,332.80197694414346,814.1200000000002
864691136618739163,298895,exc,selective,L4,clean,clean,0,673.3066949460248,319.0068834227612,847.3600000000002
864691136830108388,152899,exc,not_matched,L23,non,non,0,470.38531325536013,114.55913427214912,675.2400000000001
864691135640038459,109217,exc,not_matched,L23,non,non,0,376.95016257343394,172.10671021628224,660.0400000000001
864691135386285653,67213,exc,not_matched,L23,non,non,0,280.6182834365222,176.84887912422158,700.3600000000001
864691137020554094,189860,exc,selective,L23,non,non,0,481.57246265930047,211.39063166950382,666.3200000000002
864691136664082654,255302,exc,not_matched,L23,non,non,0,627.9151287483239,88.83085848940782,955.2000000000003
864691135946627620,391776,exc,not_matched,L23,non,non,0,868.1525366152866,240.52215940466343,612.3600000000001
864691135360113223,395935,exc,not_selective,L4,non,non,5,867.0117703719167,353.42837732191543,663.9600000000002
864691135909757353,426537,exc,not_matched,L4,non,non,0,942.1697993330079,317.5382584215302,978.2800000000002
864691136008405676,157048,exc,not_matched,L4,non,non,0,453.6707454813987,253.4709651582534,766.4000000000001
864691135941992308,120967,exc,not_matched,L4,non,non,0,383.9390100180794,344.82908920463285,937.4800000000002
864691136066751640,192893,exc,not_matched,L23,non,non,0,499.9816928238604,244.0313094312823,895.2400000000002
864691135730137017,153037,exc,not_matched,L23,non,non,0,429.00485581388364,99.9530090524286,742.7600000000001
864691135569592300,298791,exc,selective,L4,clean,clean,7,671.6006750339005,342.17836848650796,824.7600000000002
864691137054693494,227479,exc,not_selective,L4,non,non,2,538.8290883158463,299.3395475833808,708.2000000000002
864691135993424833,365819,exc,not_matched,L4,non,non,0,800.3704310366563,356.5922413522843,894.1200000000002
864691135616698729,154868,exc,selective,L23,non,non,2,440.8355233709678,159.32203674493644,768.9600000000002
864691135014690454,190136,exc,not_matched,L23,non,non,0,520.3996268152306,168.53155025601043,722.6800000000002
864691137197812033,358087,exc,not_matched,L23,non,non,0,827.6917786022669,85.42959796791413,947.0400000000003
864691136267362804,115951,exc,not_matched,L4,non,non,0,350.31932654472683,332.5722999369824,670.7200000000001
864691135919161008,360682,exc,selective,L23,non,non,5,809.6389898422848,212.46761175114156,659.5200000000001
864691135208588665,325818,exc,selective,L23,non,non,0,780.0896620061653,156.62371524997016,741.0000000000001
864691135572026405,228937,exc,not_matched,L4,non,non,0,584.9106164792464,299.13102390184577,1030.0800000000002
864691135738331249,223983,exc,selective,L23,non,non,0,591.1164377069871,222.3236215054014,730.3600000000001
864691136487428370,297506,exc,not_matched,L4,non,non,0,666.2178493656177,325.1323591052811,608.4000000000001
864691136953097183,390661,exc,not_matched,L23,non,non,0,898.3881852190801,167.35896176057526,734.1200000000001
